word	source	identifier
Galacturonic acid	MESH	C007819
trigonelline	MESH	C009560
gluconic acid	MESH	C030691
tryptamine	MESH	C030820
anthranilate	MESH	C031385
adenine	MESH	D000225
adenosine	MESH	D000241
Agmatine	MESH	D000376
Ala	MESH	D000409
allantoin	MESH	D000481
Arg	MESH	D001120
Asn	MESH	D001216
Asp	MESH	D001224
choline	MESH	D002794
coumaric acid	MESH	D003373
Cys	MESH	D003545
cystine	MESH	D003553
cytidine	MESH	D003562
cytosine	MESH	D003596
GABA	MESH	D005680
guanine	MESH	D006147
guanosine	MESH	D006151
His	MESH	D006639
Leu	MESH	D007930
Lys	MESH	D008239
mevalonate	MESH	D008798
Nicotinate	MESH	D009525
Nicotinamide	MESH	D009536
Nicotinate-nucleotide	MESH	D009711
Phe	MESH	D010649
Putrescine	MESH	D011700
pyridoxamine	MESH	D011733
pyridoxamine5P	MESH	D011733
pyruvate	MESH	D011773
Ser	MESH	D012694
ser	MESH	D012694
serotonin	MESH	D012701
Spermidine	MESH	D013095
thiamine	MESH	D013831
Thr	MESH	D013912
Trp	MESH	D014364
Tyr	MESH	D014443
Val	MESH	D014633
Glu	MESH	D018698
GSSG	MESH	D019803
