word	symbol	source	hgnc_symbol	entrez
(EPAS1)	EPAS1	hgnc_symbol	EPAS1	2034
PI3K	PI3K	bioentities_symbol	PIK3R4	30849
AKT	AKT	bioentities_symbol	AKT1	207
HIF1A	HIF1A	hgnc_symbol	HIF1A	3091
PI3K	PI3K	bioentities_symbol	PIK3R5	23533
VEGF	VEGF	bioentities_symbol	VEGFA	7422
AKT	AKT	bioentities_symbol	AKT2	208
NFKB	NFKB	bioentities_symbol	NFKB1	4790
VEGFR2	VEGFR2	hgnc_alias_symbol	KDR	3791
HIF2A	HIF2A	hgnc_alias_symbol	EPAS1	2034
PI3K	PI3K	bioentities_symbol	PIK3R6	146850
VEGF	VEGF	bioentities_symbol	VEGFB	7423
VEGF	VEGF	bioentities_symbol	VEGFC	7424
NFKB	NFKB	bioentities_symbol	NFKB2	4791
NFKB	NFKB	bioentities_symbol	RELB	5971
MTOR	MTOR	hgnc_symbol	MTOR	2475
PI3K	PI3K	bioentities_symbol	PIK3CA	5290
NFKB	NFKB	bioentities_symbol	RELA	5970
AKT	AKT	bioentities_symbol	AKT3	10000
VEGF	VEGF	bioentities_symbol	VEGFD	2277
NOS3	NOS3	hgnc_symbol	NOS3	4846
PI3K	PI3K	bioentities_symbol	PIK3CB	5291
PI3K	PI3K	bioentities_symbol	PIK3CG	5294
VEGF	VEGF	bioentities_symbol	PGF	5228
NFKB	NFKB	bioentities_symbol	REL	5966
PI3K	PI3K	bioentities_symbol	PIK3R3	8503
Src	SRC	hgnc_symbol	SRC	6714
PI3K	PI3K	bioentities_symbol	PIK3CD	5293
