word	symbol	source	hgnc_symbol	entrez
Akt	AKT	bioentities_symbol	AKT1	207
(MTORC1)	mTORC1	bioentities_symbol	RPTOR	57521
Akt	AKT	bioentities_symbol	AKT3	10000
RPL11	RPL11	hgnc_symbol	RPL11	6135
HDM2	HDM2	hgnc_alias_symbol	MDM2	4193
Crm1/NES-	NES	hgnc_symbol	NES	10763
Akt	AKT	bioentities_symbol	AKT2	208
(MTORC1)	mTORC1	bioentities_symbol	MTOR	2475
p53	p53	hgnc_alias_symbol	TP53	7157
(p53	p53	hgnc_alias_symbol	TP53	7157
PRAS40	PRAS40	hgnc_alias_symbol	AKT1S1	84335
Crm1/NES-	CRM1	hgnc_alias_symbol	XPO1	7514
