word	symbol	source	hgnc_symbol	entrez
IÇAM-	ICAM	bioentities_symbol	ICAM4	3386
Actin	Actin	bioentities_symbol	ACTA1	58
CRK	CRK	hgnc_symbol	CRK	1398
Actin	Actin	bioentities_symbol	ACTG1	71
Actin	Actin	bioentities_symbol	ACTG2	72
Rac	RAC	bioentities_symbol	RAC2	5880
Rac	RAC	bioentities_symbol	RAC3	5881
IÇAM-	ICAM	bioentities_symbol	ICAM5	7087
IÇAM-	ICAM	bioentities_symbol	ICAM3	3385
SDF-1	SDF1	hgnc_prev_symbol	CXCL12	6387
GAN	GAN	hgnc_symbol	GAN	8139
GAP	GAP	hgnc_alias_symbol	RASA1	5921
Actin	Actin	bioentities_symbol	ACTC1	70
IÇAM-	ICAM	bioentities_symbol	ICAM2	3384
(Vav	VAV	bioentities_symbol	VAV2	7410
(Vav	VAV	bioentities_symbol	VAV1	7409
(Vav	VAV	bioentities_symbol	VAV3	10451
RhoH	RhoH	hgnc_alias_symbol	RHOH	399
CTNND1	CTNND1	hgnc_symbol	CTNND1	1500
DEL1	DEL1	hgnc_alias_symbol	EDIL3	10085
RhoA	RhoA	hgnc_alias_symbol	RHOA	387
IÇAM-	ICAM	bioentities_symbol	ICAM1	3383
ÉRM	ERM	hgnc_alias_symbol	ETV5	2119
ABL	ABL	hgnc_alias_symbol	MTTP	4547
SPA-	SP-A	hgnc_alias_symbol	SFTPA1	653509
ITGAL	ITGAL	hgnc_symbol	ITGAL	3683
Actin	Actin	bioentities_symbol	ACTB	60
Rac	RAC	bioentities_symbol	RAC1	5879
Rac	RAC	bioentities_symbol	RHOG	391
MLLT4	MLLT4	hgnc_prev_symbol	AFDN	4301
MARK	MARK	hgnc_alias_symbol	MARK1	4139
IMP	IMP	hgnc_alias_symbol	BRAP	8315
ITGA4	ITGA4	hgnc_symbol	ITGA4	3676
VASP	VASP	hgnc_symbol	VASP	7408
Actin	Actin	bioentities_symbol	ACTA2	59
MEKK4	MEKK4	hgnc_prev_symbol	MAP3K4	4216
FAK	FAK	hgnc_alias_symbol	PTK2	5747
Rap	RAP	hgnc_prev_symbol	LRPAP1	4043
RASGRP1	RASGRP1	hgnc_symbol	RASGRP1	10125
MYLE	MYLE	hgnc_alias_symbol	DEXI	28955
TIMP	TIMP	hgnc_prev_symbol	TIMP1	7076
OCa2+	OCA2	hgnc_symbol	OCA2	4948
PXN	PXN	hgnc_symbol	PXN	5829
SHP2	SHP-2	hgnc_alias_symbol	PTPN11	5781
Rad1	RAD1	hgnc_symbol	RAD1	5810
