word	symbol	source	hgnc_symbol	entrez
AKT	AKT	bioentities_symbol	AKT1	207
AKT	AKT	bioentities_symbol	AKT3	10000
AKT	AKT	bioentities_symbol	AKT2	208
MEK	MEK	bioentities_symbol	MAP2K2	5605
RAF1	RAF1	hgnc_symbol	RAF1	5894
EGFR	EGFR	hgnc_symbol	EGFR	1956
sos	SOS	bioentities_symbol	SOS2	6655
MEK	MEK	bioentities_symbol	MAP2K1	5604
ERK	ERK	bioentities_symbol	MAPK1	5594
RPS6	RPS6	hgnc_symbol	RPS6	6194
KRAS-GDP	KRAS	hgnc_symbol	KRAS	3845
sos	SOS	bioentities_symbol	SOS1	6654
ERK	ERK	bioentities_symbol	MAPK3	5595
