word	symbol	source	hgnc_symbol	entrez
H2AFX	H2AFX	hgnc_symbol	H2AFX	3014
CAND1	CAND1	hgnc_symbol	CAND1	55832
PURB	PURB	hgnc_symbol	PURB	5814
COPS2	COPS2	hgnc_symbol	COPS2	9318
Akt	AKT	bioentities_symbol	AKT1	207
Akt	AKT	bioentities_symbol	AKT2	208
RUVBL1	RUVBL1	hgnc_symbol	RUVBL1	8607
IRF6	IRF6	hgnc_symbol	IRF6	3664
COPS5	COPS5	hgnc_symbol	COPS5	10987
FUS	FUS	hgnc_symbol	FUS	2521
NAÇA	NACA	hgnc_symbol	NACA	4666
NPM1	NPM1	hgnc_symbol	NPM1	4869
MNDA	MNDA	hgnc_symbol	MNDA	4332
Ppp2c	PPP2C	bioentities_symbol	PPP2CA	5515
Ppp2c	PPP2C	bioentities_symbol	PPP2CB	5516
ALYREF	ALYREF	hgnc_symbol	ALYREF	10189
BIG2	BIG-2	hgnc_alias_symbol	CNTN4	152330
BTG1	BTG1	hgnc_symbol	BTG1	694
RPC7	RPC7	hgnc_alias_symbol	POLR3G	10622
YBX1	YBX1	hgnc_symbol	YBX1	4904
RUVBL2	RUVBL2	hgnc_symbol	RUVBL2	10856
SRSF2	SRSF2	hgnc_symbol	SRSF2	6427
TCEB2	TCEB2	hgnc_prev_symbol	ELOB	6923
PTRF	PTRF	hgnc_prev_symbol	CAVIN1	284119
Ppp2c	PPP2C	bioentities_symbol	PPM1J	333926
Akt	AKT	bioentities_symbol	AKT3	10000
RCOR2	RCOR2	hgnc_symbol	RCOR2	283248
