word	symbol	source	hgnc_symbol	entrez
BAK	BAK	hgnc_alias_symbol	BAK1	578
MMP	MMP	bioentities_symbol	MMP7	4316
BAD	BAD	hgnc_symbol	BAD	572
MAPK	MAPK	bioentities_symbol	MAPK1	5594
MDM2	MDM2	hgnc_symbol	MDM2	4193
MMP	MMP	bioentities_symbol	MMP8	4317
MMP	MMP	bioentities_symbol	MMP9	4318
MAX	MAX	hgnc_symbol	MAX	4149
MMP	MMP	bioentities_symbol	MMP24	10893
MEK	MEK	bioentities_symbol	MAP2K2	5605
ATM	ATM	hgnc_symbol	ATM	472
MAPK	MAPK	bioentities_symbol	MAPK14	1432
MMP	MMP	bioentities_symbol	MMP27	64066
MMP	MMP	bioentities_symbol	MMP25	64386
MMP	MMP	bioentities_symbol	MMP28	79148
BAX	BAX	hgnc_symbol	BAX	581
BCL2	BCL2	hgnc_symbol	BCL2	596
BID	BID	hgnc_symbol	BID	637
MEK	MEK	bioentities_symbol	MAP2K1	5604
BMP	BMP	bioentities_symbol	BMP6	654
MIZ1	MIZ1	hgnc_alias_symbol	ZBTB17	7709
(Jun	JUN	hgnc_symbol	JUN	3725
ARF	ARF	hgnc_alias_symbol	CDKN2A	1029
ASK1	ASK1	hgnc_alias_symbol	MAP3K5	4217
MMP	MMP	bioentities_symbol	MMP19	4327
BMP	BMP	bioentities_symbol	BMP10	27302
BMP	BMP	bioentities_symbol	BMP8A	353500
MAPK	MAPK	bioentities_symbol	MAPK3	5595
MAPK	MAPK	bioentities_symbol	MAPK8	5599
MAPK	MAPK	bioentities_symbol	MAPK11	5600
MAPK	MAPK	bioentities_symbol	MAPK9	5601
MAPK	MAPK	bioentities_symbol	MAPK10	5602
MAPK	MAPK	bioentities_symbol	MAPK12	6300
E2F	E2F	bioentities_symbol	E2F1	1869
BMP	BMP	bioentities_symbol	BMP7	655
BMP	BMP	bioentities_symbol	BMP8B	656
MMP	MMP	bioentities_symbol	MMP21	118856
MMP	MMP	bioentities_symbol	MMP1	4312
MMP	MMP	bioentities_symbol	MMP2	4313
MMP	MMP	bioentities_symbol	MMP3	4314
BRCA	BRCA	bioentities_symbol	BRCA1	672
BRCA	BRCA	bioentities_symbol	BRCA2	675
CAMK	CAMK	bioentities_symbol	CAMK1D	57118
MMP	MMP	bioentities_symbol	MMP10	4319
MMP	MMP	bioentities_symbol	MMP11	4320
MMP	MMP	bioentities_symbol	MMP12	4321
MMP	MMP	bioentities_symbol	MMP13	4322
