word	symbol	source	hgnc_symbol	entrez
Smad-independent	SMAD	bioentities_symbol	SMAD1	4086
Smad-independent	SMAD	bioentities_symbol	SMAD2	4087
Trap	TR-AP	hgnc_alias_symbol	TRRAP	8295
Smad4	SMAD4	hgnc_symbol	SMAD4	4089
Smad-independent	SMAD	bioentities_symbol	SMAD9	4093
Smad-independent	SMAD	bioentities_symbol	SMAD4	4089
Smad-independent	SMAD	bioentities_symbol	SMAD3	4088
Smad2/3	SMAD3	hgnc_symbol	SMAD3	4088
Smad2/3	SMAD2	hgnc_symbol	SMAD2	4087
TGF-B	TGFB	bioentities_symbol	TGFB2	7042
(ERK,	ERK	bioentities_symbol	MAPK1	5594
Smad7	SMAD7	hgnc_symbol	SMAD7	4092
Smad-independent	SMAD	bioentities_symbol	SMAD7	4092
p38	p38	bioentities_symbol	MAPK14	1432
TGF-B	TGFB	bioentities_symbol	TGFB1	7040
Smad-independent	SMAD	bioentities_symbol	SMAD5	4090
Smad-independent	SMAD	bioentities_symbol	SMAD6	4091
TGF-B	TGFB	bioentities_symbol	TGFB3	7043
BAMBI	BAMBI	hgnc_symbol	BAMBI	25805
p38	p38	bioentities_symbol	MAPK11	5600
p38	p38	bioentities_symbol	MAPK12	6300
(ERK,	ERK	bioentities_symbol	MAPK3	5595
p38	p38	bioentities_symbol	MAPK13	5603
