word	symbol	source	hgnc_symbol	entrez
>PKA.	PKA	bioentities_symbol	PRKACA	5566
JNK-	JNK	bioentities_symbol	MAPK10	5602
PI3K	PI3K	bioentities_symbol	PIK3CG	5294
JNK-	JNK	bioentities_symbol	MAPK9	5601
Akt	AKT	bioentities_symbol	AKT3	10000
PI3K	PI3K	bioentities_symbol	PIK3R3	8503
SDR	SDR	hgnc_alias_symbol	CAVIN2	8436
>PKA.	PKA	bioentities_symbol	PRKACB	5567
>PKA.	PKA	bioentities_symbol	PRKACG	5568
>PKA.	PKA	bioentities_symbol	PRKAR1A	5573
TOR	TOR	hgnc_alias_symbol	RORC	6097
>PKA.	PKA	bioentities_symbol	PRKAR1B	5575
>PKA.	PKA	bioentities_symbol	PRKAR2A	5576
PI3K	PI3K	bioentities_symbol	PIK3R6	146850
PI3K	PI3K	bioentities_symbol	PIK3R5	23533
PI3K	PI3K	bioentities_symbol	PIK3CA	5290
PI3K	PI3K	bioentities_symbol	PIK3CB	5291
PI3K	PI3K	bioentities_symbol	PIK3CD	5293
Chico	chico	hgnc_alias_symbol	TLE7	102723796
Fat	FAT	hgnc_alias_symbol	CD36	948
Glut?	GLUT	hgnc_prev_symbol	SLC2A1	6513
JNK-	JNK	bioentities_symbol	MAPK8	5599
>PKA.	PKA	bioentities_symbol	PRKAR2B	5577
PKC-	PKC	bioentities_symbol	PRKD3	23683
Akt	AKT	bioentities_symbol	AKT1	207
Akt	AKT	bioentities_symbol	AKT2	208
ALS	ALS	hgnc_alias_symbol	IGFALS	3483
PKC-	PKC	bioentities_symbol	PRKCI	5584
PKC-	PKC	bioentities_symbol	PRKCQ	5588
PKC-	PKC	bioentities_symbol	PRKCZ	5590
PKC-	PKC	bioentities_symbol	PRKCH	5583
PKC-	PKC	bioentities_symbol	PRKCB	5579
PI3K	PI3K	bioentities_symbol	PIK3R4	30849
PKC-	PKC	bioentities_symbol	PRKCA	5578
PKC-	PKC	bioentities_symbol	PRKCG	5582
PKC-	PKC	bioentities_symbol	PRKCD	5580
PKC-	PKC	bioentities_symbol	PRKCE	5581
