word	symbol	source	hgnc_symbol	entrez
Smc4	SMC4	hgnc_symbol	SMC4	10051
Smc1	SMC1	bioentities_symbol	SMC1A	8243
Ycg1	YCG1	hgnc_alias_symbol	NCAPG	64151
Cohesin:	Cohesin	bioentities_symbol	RAD21	5885
Smc2	SMC2	hgnc_symbol	SMC2	10592
Smc1	SMC1	bioentities_symbol	SMC1B	27127
Net1	NET1	hgnc_symbol	NET1	10276
ARS	ARS	hgnc_alias_symbol	SLURP1	57152
Cohesin:	Cohesin	bioentities_symbol	SMC3	9126
Cdc14	cdc14	hgnc_alias_symbol	CDC14A	8556
Brn1	BRN1	hgnc_alias_symbol	POU3F3	5455
Smc3	SMC3	hgnc_symbol	SMC3	9126
