word	symbol	source	hgnc_symbol	entrez
MAPK	MAPK	bioentities_symbol	MAPK1	5594
MAPK	MAPK	bioentities_symbol	MAPK8	5599
AMP	AMP	hgnc_alias_symbol	MFAP1	4236
MAPK	MAPK	bioentities_symbol	MAPK3	5595
MAPK	MAPK	bioentities_symbol	MAPK14	1432
MAPK	MAPK	bioentities_symbol	MAPK11	5600
HTR2A	HTR2A	hgnc_symbol	HTR2A	3356
HTR5A	HTR5A	hgnc_symbol	HTR5A	3361
MAPK	MAPK	bioentities_symbol	MAPK9	5601
Akt	AKT	bioentities_symbol	AKT1	207
Akt	AKT	bioentities_symbol	AKT2	208
NOS2	NOS2	hgnc_symbol	NOS2	4843
PDE3	PDE3	bioentities_symbol	PDE3B	5140
MAPK	MAPK	bioentities_symbol	MAPK10	5602
PHK	PhK	bioentities_symbol	PHKA2	5256
PHK	PhK	bioentities_symbol	PHKB	5257
PHK	PhK	bioentities_symbol	PHKG1	5260
NFAT	NFAT	bioentities_symbol	NFATC2	4773
NFAT	NFAT	bioentities_symbol	NFATC3	4775
NFAT	NFAT	bioentities_symbol	NFATC4	4776
PHK	PhK	bioentities_symbol	PHKG2	5261
PHK	PhK	bioentities_symbol	CALM1	801
PI3K	PI3K	bioentities_symbol	PIK3R6	146850
PI3K	PI3K	bioentities_symbol	PIK3R5	23533
Gq	Gq	bioentities_symbol	GNA11	2767
Gq	Gq	bioentities_symbol	GNA15	2769
PHK	PhK	bioentities_symbol	PHKA1	5255
Gs	Gs	bioentities_symbol	GNAL	2774
Gs	Gs	bioentities_symbol	GNAS	2778
ADRA2B	ADRA2B	hgnc_symbol	ADRA2B	151
AGTR1	AGTR1	hgnc_symbol	AGTR1	185
Akt	AKT	bioentities_symbol	AKT3	10000
PKA	PKA	bioentities_symbol	PRKACB	5567
PKA	PKA	bioentities_symbol	PRKACG	5568
PKA	PKA	bioentities_symbol	PRKAR1A	5573
PKA	PKA	bioentities_symbol	PRKAR1B	5575
PKA	PKA	bioentities_symbol	PRKAR2A	5576
MAPK	MAPK	bioentities_symbol	MAPK13	5603
MAPK	MAPK	bioentities_symbol	MAPK12	6300
MEK	MEK	bioentities_symbol	MAP2K1	5604
MEK	MEK	bioentities_symbol	MAP2K2	5605
MMP9	MMP9	hgnc_symbol	MMP9	4318
NFAT	NFAT	bioentities_symbol	NFAT5	10725
NFAT	NFAT	bioentities_symbol	NFATC1	4772
PKC	PKC	bioentities_symbol	PRKCH	5583
PKC	PKC	bioentities_symbol	PRKCI	5584
PKC	PKC	bioentities_symbol	PRKCQ	5588
PKC	PKC	bioentities_symbol	PRKCZ	5590
NPR-A	NPRA	hgnc_prev_symbol	NPR1	4881
NPR-B	NPRB	hgnc_prev_symbol	NPR2	4882
PDE2A	PDE2A	hgnc_symbol	PDE2A	5138
PDE3	PDE3	bioentities_symbol	PDE3A	5139
CREB	CREB	bioentities_symbol	CREB3L4	148327
CREB	CREB	bioentities_symbol	ATF1	466
CREB	CREB	bioentities_symbol	CREB3L2	64764
CREB	CREB	bioentities_symbol	CREB3L3	84699
CREB	CREB	bioentities_symbol	CREB3L1	90993
CREB	CREB	bioentities_symbol	CREB5	9586
C-Src	c-src	hgnc_alias_symbol	SRC	6714
EDNRA	EDNRA	hgnc_symbol	EDNRA	1909
ENOS	eNOS	hgnc_alias_symbol	NOS3	4846
ERK	ERK	bioentities_symbol	MAPK1	5594
ERK	ERK	bioentities_symbol	MAPK3	5595
ESR1	ESR1	hgnc_symbol	ESR1	2099
Gaq/11	G-ALPHA-q	hgnc_alias_symbol	GNAQ	2776
Gq	Gq	bioentities_symbol	GNAQ	2776
Gq	Gq	bioentities_symbol	GNA14	9630
PI3K	PI3K	bioentities_symbol	PIK3CB	5291
PI3K	PI3K	bioentities_symbol	PIK3CD	5293
PI3K	PI3K	bioentities_symbol	PIK3CG	5294
PI3K	PI3K	bioentities_symbol	PIK3R3	8503
PKA	PKA	bioentities_symbol	PRKACA	5566
CAMK	CAMK	bioentities_symbol	CAMK2B	816
CAMK	CAMK	bioentities_symbol	CAMK2D	817
CAMK	CAMK	bioentities_symbol	CAMK2G	818
C-Fos	c-fos	hgnc_alias_symbol	FOS	2353
Bad	BAD	hgnc_symbol	BAD	572
PKA	PKA	bioentities_symbol	PRKAR2B	5577
PKC	PKC	bioentities_symbol	PRKCG	5582
PKC	PKC	bioentities_symbol	PRKD3	23683
PKC	PKC	bioentities_symbol	PRKCA	5578
PKC	PKC	bioentities_symbol	PRKCB	5579
PKC	PKC	bioentities_symbol	PRKCD	5580
PKC	PKC	bioentities_symbol	PRKCE	5581
CAMK	CAMK	bioentities_symbol	CAMK2A	815
Raf	RAF	bioentities_symbol	ARAF	369
Raf	RAF	bioentities_symbol	RAF1	5894
SERCA	SERCA	bioentities_symbol	ATP2A1	487
SERCA	SERCA	bioentities_symbol	ATP2A2	488
CREB	CREB	bioentities_symbol	CREB3	10488
CREB	CREB	bioentities_symbol	CREB1	1385
CREB	CREB	bioentities_symbol	ATF2	1386
CREB	CREB	bioentities_symbol	CREM	1390
PLCB	PLCB	bioentities_symbol	PLCB3	5331
PLCB	PLCB	bioentities_symbol	PLCB2	5330
PLCB	PLCB	bioentities_symbol	PLCB1	23236
PLN	PLN	hgnc_symbol	PLN	5350
Raf	RAF	bioentities_symbol	BRAF	673
CAMK	CAMK	bioentities_symbol	CAMK1G	57172
CAMK	CAMK	bioentities_symbol	CAMK4	814
TRPC6	TRPC6	hgnc_symbol	TRPC6	7225
RYR	RYR	hgnc_alias_symbol	RYR1	6261
SERCA	SERCA	bioentities_symbol	ATP2A3	489
s-GC	SGC	hgnc_alias_symbol	SGCB	6443
ADRA	ADRA	bioentities_symbol	ADRA1A	148
PI3K	PI3K	bioentities_symbol	PIK3R4	30849
PI3K	PI3K	bioentities_symbol	PIK3CA	5290
ADRA	ADRA	bioentities_symbol	ADRA1B	147
PKG	PKG	hgnc_alias_symbol	PRKG1	5592
ADRA1B	ADRA1B	hgnc_symbol	ADRA1B	147
CAMK	CAMK	bioentities_symbol	CAMK1D	57118
ADCY5	ADCY5	hgnc_symbol	ADCY5	111
CALM	CALM	bioentities_symbol	CALM3	808
PLA2G1B	PLA2G1B	hgnc_symbol	PLA2G1B	5319
CALM	CALM	bioentities_symbol	CALM1	801
CALM	CALM	bioentities_symbol	CALM2	805
PLCB	PLCB	bioentities_symbol	PLCB4	5332
CaM	CAM	hgnc_alias_symbol	KRIT1	889
CAMK	CAMK	bioentities_symbol	CAMK1	8536
PLA2G2A	PLA2G2A	hgnc_symbol	PLA2G2A	5320
