word	symbol	source	hgnc_symbol	entrez
RON	RON	hgnc_prev_symbol	MST1R	4486
Tnfa	TNF-alpha	hgnc_alias_symbol	TNF	7124
Cpt-1	CPT1	hgnc_alias_symbol	CHPT1	56994
AMPK	AMPK	bioentities_symbol	PRKAG2	51422
AMPK	AMPK	bioentities_symbol	PRKAG1	5571
Mcp-1	MCP-1	hgnc_alias_symbol	CCL2	6347
Aco	ACO	hgnc_alias_symbol	KLK15	55554
LPS,	LPS	hgnc_prev_symbol	IRF6	3664
AMPK	AMPK	bioentities_symbol	PRKAB2	5565
AMPK	AMPK	bioentities_symbol	PRKAG3	53632
AMPK	AMPK	bioentities_symbol	PRKAB1	5564
Srebf-1	SREBF1	hgnc_symbol	SREBF1	6720
Il-6	IL-6	hgnc_alias_symbol	IL6	3569
AMPK	AMPK	bioentities_symbol	PRKAA1	5562
AMPK	AMPK	bioentities_symbol	PRKAA2	5563
Fas	FAS	hgnc_symbol	FAS	355
