word	symbol	source	hgnc_symbol	entrez
TNF,İL-18	IL-18	hgnc_alias_symbol	IL18	3606
TNF	TNF	hgnc_symbol	TNF	7124
IKKB	IKK-beta	hgnc_alias_symbol	IKBKB	3551
TNFR1	TNFR1	hgnc_prev_symbol	TNFRSF1A	7132
TLR4	TLR4	hgnc_symbol	TLR4	7099
TBK1	TBK1	hgnc_symbol	TBK1	29110
TLR3	TLR3	hgnc_symbol	TLR3	7098
IL-8,	IL-8	hgnc_alias_symbol	CXCL8	3576
IRAK1	IRAK1	hgnc_symbol	IRAK1	3654
TRAF3	TRAF3	hgnc_symbol	TRAF3	7187
IL-1R	IL1R	hgnc_prev_symbol	IL1R1	3554
TAB3	TAB3	hgnc_symbol	TAB3	257397
TAK1	TAK1	hgnc_alias_symbol	NR2C2	7182
TANK	TANK	hgnc_symbol	TANK	10010
IRF3	IRF3	hgnc_symbol	IRF3	3661
(IL-6,	IL6	hgnc_symbol	IL6	3569
TAB2	TAB2	hgnc_symbol	TAB2	23118
TRAF6	TRAF6	hgnc_symbol	TRAF6	7189
IKBa	IkappaBalpha	hgnc_alias_symbol	NFKBIA	4792
IKKA	IKK-alpha	hgnc_alias_symbol	CHUK	1147
ÍCAM-1...)	ICAM1	hgnc_symbol	ICAM1	3383
NF-KB	NF-kappaB	hgnc_alias_symbol	NFKB1	4790
IL-1B	IL-1B	hgnc_alias_symbol	IL1B	3553
IFN-a/ß	IFN-ALPHA	hgnc_alias_symbol	IFNA1	3439
MEX3B	MEX3B	hgnc_symbol	MEX3B	84206
WDFY1	WDFY1	hgnc_symbol	WDFY1	57590
TRIM38	TRIM38	hgnc_symbol	TRIM38	10475
MD2	MD-2	hgnc_alias_symbol	LY96	23643
LPS	LPS	hgnc_prev_symbol	IRF6	3664
MyD88	MYD88	hgnc_symbol	MYD88	4615
NEMO	NEMO	hgnc_alias_symbol	IKBKG	8517
