word	symbol	source	hgnc_symbol	entrez
ALDH	ALDH	bioentities_symbol	ALDH1A1	216
MCP	MCP	hgnc_alias_symbol	CAPG	822
ADP	ADP	hgnc_alias_symbol	WDTC1	23038
ALDH	ALDH	bioentities_symbol	ALDH5A1	7915
ALDH	ALDH	bioentities_symbol	ALDH2	217
ALDH	ALDH	bioentities_symbol	ALDH7A1	501
ALDH	ALDH	bioentities_symbol	ALDH9A1	223
Pst	PST	hgnc_alias_symbol	ST8SIA4	7903
ALDH	ALDH	bioentities_symbol	ALDH3A2	224
FAH	FAH	hgnc_symbol	FAH	2184
ALDH	ALDH	bioentities_symbol	ALDH3A1	218
ALDH	ALDH	bioentities_symbol	ALDH1A2	8854
ALDH	ALDH	bioentities_symbol	ALDH3B1	221
ALDH	ALDH	bioentities_symbol	ALDH1A3	220
