word	symbol	source	hgnc_symbol	entrez
gg	G_gamma	bioentities_symbol	GNG4	2786
gg	G_gamma	bioentities_symbol	GNG7	2788
gg	G_gamma	bioentities_symbol	GNG3	2785
gg	G_gamma	bioentities_symbol	GNG5	2787
wire	WIRE	hgnc_alias_symbol	WIPF2	147179
gg	G_gamma	bioentities_symbol	GNGT2	2793
gg	G_gamma	bioentities_symbol	GNG10	2790
gg	G_gamma	bioentities_symbol	GNG11	2791
gg	G_gamma	bioentities_symbol	GNGT1	2792
gg	G_gamma	bioentities_symbol	GNG12	55970
gg	G_gamma	bioentities_symbol	GNG13	51764
gg	G_gamma	bioentities_symbol	GNG8	94235
gg	G_gamma	bioentities_symbol	GNG2	54331
