word	symbol	source	hgnc_symbol	entrez
GPx,	GPX	bioentities_symbol	GPX5	2880
SOD,	SOD	bioentities_symbol	SOD3	6649
MAPK	MAPK	bioentities_symbol	MAPK9	5601
MAPK	MAPK	bioentities_symbol	MAPK10	5602
GPx,	GPX	bioentities_symbol	GPX7	2882
GPx,	GPX	bioentities_symbol	GPX8	493869
(HO-1,	HO-1	hgnc_alias_symbol	HMOX1	3162
IL-6,IL-8,COX-2,İNOS)	IL-6	hgnc_alias_symbol	IL6	3569
IL-6,IL-8,COX-2,İNOS)	IL-8	hgnc_alias_symbol	CXCL8	3576
MAPKK	MAPKK	bioentities_symbol	MAP2K5	5607
MAPK	MAPK	bioentities_symbol	MAPK11	5600
/Nrf-?	NRF	hgnc_alias_symbol	NKRF	55922
RAS	RAS	bioentities_symbol	HRAS	3265
RAS	RAS	bioentities_symbol	KRAS	3845
RAS	RAS	bioentities_symbol	NRAS	4893
rays	Ray	hgnc_alias_symbol	SH3YL1	26751
SOD,	SOD	bioentities_symbol	SOD1	6647
SOD,	SOD	bioentities_symbol	SOD2	6648
MAPK	MAPK	bioentities_symbol	MAPK8	5599
ADP	ADP	hgnc_alias_symbol	WDTC1	23038
GPx,	GPX	bioentities_symbol	GPX6	257202
GPx,	GPX	bioentities_symbol	GPX1	2876
MAPKK	MAPKK	bioentities_symbol	MAP2K3	5606
NQO1)	NQO1	hgnc_symbol	NQO1	1728
GPx,	GPX	bioentities_symbol	GPX3	2878
GPx,	GPX	bioentities_symbol	GPX4	2879
MAPK	MAPK	bioentities_symbol	MAPK1	5594
MAPK	MAPK	bioentities_symbol	MAPK3	5595
MAPK	MAPK	bioentities_symbol	MAPK13	5603
MAPK	MAPK	bioentities_symbol	MAPK12	6300
MAPKK	MAPKK	bioentities_symbol	MAP2K6	5608
INrf-2	INrf2	hgnc_alias_symbol	KEAP1	9817
MAPK	MAPK	bioentities_symbol	MAPK14	1432
GPx,	GPX	bioentities_symbol	GPX2	2877
NF-KB	NF-kappaB	hgnc_alias_symbol	NFKB1	4790
MAPKK	MAPKK	bioentities_symbol	MAP2K7	5609
MAPKK	MAPKK	bioentities_symbol	MAP2K4	6416
