word	symbol	source	hgnc_symbol	entrez
CST6	CST6	hgnc_symbol	CST6	1474
MAPK	MAPK	bioentities_symbol	MAPK13	5603
MAPK	MAPK	bioentities_symbol	MAPK12	6300
PTGS2	PTGS2	hgnc_symbol	PTGS2	5743
IFIH1	IFIH1	hgnc_symbol	IFIH1	64135
IFNAR	IFNAR	hgnc_prev_symbol	IFNAR1	3454
IFNAR1	IFNAR1	hgnc_symbol	IFNAR1	3454
IFNAR2	IFNAR2	hgnc_symbol	IFNAR2	3455
CST3	CST3	hgnc_symbol	CST3	1471
MAPK	MAPK	bioentities_symbol	MAPK9	5601
MAPK	MAPK	bioentities_symbol	MAPK10	5602
IRF2	IRF2	hgnc_symbol	IRF2	3660
CTSL	CTSL	hgnc_symbol	CTSL	1514
(ERK1/2)	ERK1	hgnc_alias_symbol	MAPK3	5595
GAS	GAS	hgnc_prev_symbol	GAST	2520
RSAD2	RSAD2	hgnc_symbol	RSAD2	91543
HSD11B1	HSD11B1	hgnc_symbol	HSD11B1	3290
MAPK	MAPK	bioentities_symbol	MAPK1	5594
MAPK	MAPK	bioentities_symbol	MAPK14	1432
MAPK	MAPK	bioentities_symbol	MAPK3	5595
MAPK	MAPK	bioentities_symbol	MAPK8	5599
MAPK	MAPK	bioentities_symbol	MAPK11	5600
IGFBP1	IGFBP1	hgnc_symbol	IGFBP1	3484
IRF1	IRF1	hgnc_symbol	IRF1	3659
GRP	GRP	hgnc_symbol	GRP	2922
IRF9	IRF9	hgnc_symbol	IRF9	10379
ISG15	ISG15	hgnc_symbol	ISG15	9636
ISGF3	ISGF-3	hgnc_alias_symbol	STAT1	6772
SLC2A1	SLC2A1	hgnc_symbol	SLC2A1	6513
HIF2A	HIF2A	hgnc_alias_symbol	EPAS1	2034
JNK	JNK	bioentities_symbol	MAPK9	5601
JNK	JNK	bioentities_symbol	MAPK10	5602
STAT1	STAT1	hgnc_symbol	STAT1	6772
STAT2	STAT2	hgnc_symbol	STAT2	6773
TYK2	TYK2	hgnc_symbol	TYK2	7297
JAK1	JAK1	hgnc_symbol	JAK1	3716
JNK	JNK	bioentities_symbol	MAPK8	5599
