word	symbol	source	hgnc_symbol	entrez
FoxO4	FOXO4	hgnc_symbol	FOXO4	4303
DEPTOR	DEPTOR	hgnc_symbol	DEPTOR	64798
EIF4E	EIF4E	hgnc_symbol	EIF4E	1977
MTOR	MTOR	hgnc_symbol	MTOR	2475
MTORC2	mTORC2	bioentities_symbol	MTOR	2475
MTORC2	mTORC2	bioentities_symbol	MAPKAP1	79109
PI3K	PI3K	bioentities_symbol	PIK3R6	146850
PI3K	PI3K	bioentities_symbol	PIK3R5	23533
PI3K	PI3K	bioentities_symbol	PIK3R4	30849
Akt	AKT	bioentities_symbol	AKT1	207
PI3K	PI3K	bioentities_symbol	PIK3CA	5290
PI3K	PI3K	bioentities_symbol	PIK3CB	5291
FoxO3	FOXO3	hgnc_symbol	FOXO3	2309
PI3K	PI3K	bioentities_symbol	PIK3CD	5293
FoxO6	FOXO6	hgnc_symbol	FOXO6	100132074
GBL	GbetaL	hgnc_alias_symbol	MLST8	64223
PRR5/Protor-1	PRR5	hgnc_symbol	PRR5	55615
Raptor	raptor	hgnc_alias_symbol	RPTOR	57521
MTORC2	mTORC2	bioentities_symbol	RICTOR	253260
MTORC2	mTORC2	bioentities_symbol	MLST8	64223
Sin1	SIN1	hgnc_alias_symbol	MAPKAP1	79109
PRR5/Protor-1	Protor-1	hgnc_alias_symbol	PRR5	55615
Akt	AKT	bioentities_symbol	AKT3	10000
Akt	AKT	bioentities_symbol	AKT2	208
PI3K	PI3K	bioentities_symbol	PIK3R3	8503
PI3K	PI3K	bioentities_symbol	PIK3CG	5294
Rictor	RICTOR	hgnc_symbol	RICTOR	253260
4E-BP3)	4E-BP3	hgnc_alias_symbol	EIF4EBP3	8637
