word	symbol	source	hgnc_symbol	entrez
Camk2d	CAMK2D	hgnc_symbol	CAMK2D	817
Crk	CRK	hgnc_symbol	CRK	1398
Braf	BRAF	hgnc_symbol	BRAF	673
Calm	CALM	bioentities_symbol	CALM1	801
Calm	CALM	bioentities_symbol	CALM3	808
Crkl	CRKL	hgnc_symbol	CRKL	1399
Calm	CALM	bioentities_symbol	CALM2	805
Map3ks	MAP3K	bioentities_symbol	MAP3K14	9020
Map3ks	MAP3K	bioentities_symbol	MAP3K6	9064
Map3ks	MAP3K	bioentities_symbol	MAP3K3	4215
Hras	HRAS	hgnc_symbol	HRAS	3265
Irak!	IRAK	hgnc_alias_symbol	IRAK1	3654
Map3ks	MAP3K	bioentities_symbol	MAP3K9	4293
Map3ks	MAP3K	bioentities_symbol	MAP3K10	4294
Map3ks	MAP3K	bioentities_symbol	MAP3K4	4216
Map3ks	MAP3K	bioentities_symbol	MAP3K5	4217
Mapks	MAPK	bioentities_symbol	MAPK14	1432
Mapks	MAPK	bioentities_symbol	MAPK10	5602
Mapks	MAPK	bioentities_symbol	MAPK8	5599
Mapks	MAPK	bioentities_symbol	MAPK11	5600
Arhgdia	ARHGDIA	hgnc_symbol	ARHGDIA	396
Arhgdig	ARHGDIG	hgnc_symbol	ARHGDIG	398
Bad	BAD	hgnc_symbol	BAD	572
Bax	BAX	hgnc_symbol	BAX	581
Map3ks	MAP3K	bioentities_symbol	MAP3K12	7786
Mapk10	MAPK10	hgnc_symbol	MAPK10	5602
Mapks	MAPK	bioentities_symbol	MAPK1	5594
Mapks	MAPK	bioentities_symbol	MAPK3	5595
Map3ks	MAP3K	bioentities_symbol	MAP3K13	9175
Map3ks	MAP3K	bioentities_symbol	TAOK2	9344
Map3ks	MAP3K	bioentities_symbol	BRAF	673
Irak3	IRAK3	hgnc_symbol	IRAK3	11213
Irak4	IRAK4	hgnc_symbol	IRAK4	51135
Mapks	MAPK	bioentities_symbol	MAPK12	6300
Jun	JUN	hgnc_symbol	JUN	3725
Kras	KRAS	hgnc_symbol	KRAS	3845
Map3k3	MAP3K3	hgnc_symbol	MAP3K3	4215
Map3ks	MAP3K	bioentities_symbol	MAP3K19	80122
Map3ks	MAP3K	bioentities_symbol	MAP3K21	84451
Prdm4	PRDM4	hgnc_symbol	PRDM4	11108
Rac	RAC	bioentities_symbol	RHOG	391
Mapks	MAPK	bioentities_symbol	MAPK13	5603
Map3ks	MAP3K	bioentities_symbol	MAP3K11	4296
Map3ks	MAP3K	bioentities_symbol	TAOK3	51347
Map3ks	MAP3K	bioentities_symbol	MAP3K2	10746
Sost	SOST	hgnc_symbol	SOST	50964
Map3ks	MAP3K	bioentities_symbol	ARAF	369
Map3ks	MAP3K	bioentities_symbol	MAP3K15	389840
Map3ks	MAP3K	bioentities_symbol	MAP3K1	4214
Rac	RAC	bioentities_symbol	RAC2	5880
Tp73	TP73	hgnc_symbol	TP73	7161
Ywhae	YWHAE	hgnc_symbol	YWHAE	7531
pk	P(k)	hgnc_alias_symbol	A4GALT	53947
Map3ks	MAP3K	bioentities_symbol	TAOK1	57551
Map3ks	MAP3K	bioentities_symbol	MAP3K8	1326
Rapgef	RAPGEF	bioentities_symbol	RAPGEF1	2889
Rac	RAC	bioentities_symbol	RAC1	5879
Rapgef	RAPGEF	bioentities_symbol	RAPGEF2	9693
Map3ks	MAP3K	bioentities_symbol	RAF1	5894
Map3ks	MAP3K	bioentities_symbol	MAP3K7	6885
Map3ks	MAP3K	bioentities_symbol	MAP3K20	51776
Mapks	MAPK	bioentities_symbol	MAPK9	5601
Rac	RAC	bioentities_symbol	RAC3	5881
Nras	NRAS	hgnc_symbol	NRAS	4893
Matk	MATK	hgnc_symbol	MATK	4145
NIf	NIF	hgnc_alias_symbol	S100A9	6280
Rela	RELA	hgnc_symbol	RELA	5970
Shc3	SHC3	hgnc_symbol	SHC3	53358
