word	symbol	source	hgnc_symbol	entrez
Notch	Notch	bioentities_symbol	NOTCH2	4853
JAG1,2	JAG2	hgnc_symbol	JAG2	3714
DLL1,3,4	DLL3	hgnc_symbol	DLL3	10683
Notch1-4	NOTCH3	hgnc_symbol	NOTCH3	4854
DLL1,3,4	DLL4	hgnc_symbol	DLL4	54567
Furin	FURIN	hgnc_symbol	FURIN	5045
Notch	Notch	bioentities_symbol	NOTCH1	4851
Hes	HES	bioentities_symbol	HES3	390992
JAG1,	JAG1	hgnc_symbol	JAG1	182
ADAM/TACE	TACE	hgnc_prev_symbol	ADAM17	6868
Hes	HES	bioentities_symbol	HES7	84667
Hes	HES	bioentities_symbol	HES5	388585
Hes	HES	bioentities_symbol	HES2	54626
Notch	Notch	bioentities_symbol	NOTCH3	4854
DLL1,	DLL1	hgnc_symbol	DLL1	28514
Hes	HES	bioentities_symbol	HES4	57801
Notch1-4	NOTCH1	hgnc_symbol	NOTCH1	4851
Hes	HES	bioentities_symbol	HES6	55502
Notch	Notch	bioentities_symbol	NOTCH4	4855
Hes	HES	bioentities_symbol	HES1	3280
S2	SII	hgnc_alias_symbol	TCEA1	6917
Notch1-4	NOTCH2	hgnc_symbol	NOTCH2	4853
Notch1-4	NOTCH4	hgnc_symbol	NOTCH4	4855
