word	symbol	source	hgnc_symbol	entrez
ALDH	ALDH	bioentities_symbol	ALDH1A3	220
ALDH	ALDH	bioentities_symbol	ALDH5A1	7915
ALDH	ALDH	bioentities_symbol	ALDH3B1	221
ALDH	ALDH	bioentities_symbol	ALDH9A1	223
AFMID	AFMID	hgnc_symbol	AFMID	125061
ALDH	ALDH	bioentities_symbol	ALDH3A1	218
ALDH	ALDH	bioentities_symbol	ALDH1A1	216
ALDH	ALDH	bioentities_symbol	ALDH2	217
ALDH	ALDH	bioentities_symbol	ALDH3A2	224
ALDH	ALDH	bioentities_symbol	ALDH7A1	501
IDO	IDO	hgnc_prev_symbol	IDO1	3620
def	DEF	hgnc_alias_symbol	DIEXF	27042
ALDH	ALDH	bioentities_symbol	ALDH1A2	8854
TDO	TDO	hgnc_alias_symbol	TDO2	6999
AAT	AAT	hgnc_alias_symbol	SERPINA1	5265
AANAT	AANAT	hgnc_symbol	AANAT	15
ASMT	ASMT	hgnc_symbol	ASMT	438
