word	symbol	source	hgnc_symbol	entrez
GI	Gi	bioentities_symbol	GNAI3	2773
GI	Gi	bioentities_symbol	GNAT1	2779
GI	Gi	bioentities_symbol	GNAT2	2780
GI	Gi	bioentities_symbol	GNAO1	2775
PKA	PKA	bioentities_symbol	PRKACA	5566
PKA	PKA	bioentities_symbol	PRKACB	5567
GI	Gi	bioentities_symbol	GNAI2	2771
Kif7	KIF7	hgnc_symbol	KIF7	374654
GI	Gi	bioentities_symbol	GNAI1	2770
PKA	PKA	bioentities_symbol	PRKAR2A	5576
GI	Gi	bioentities_symbol	GNAZ	2781
PKA	PKA	bioentities_symbol	PRKAR1B	5575
Smo	SMO	hgnc_symbol	SMO	6608
GI	Gi	bioentities_symbol	GNAT3	346562
PKA	PKA	bioentities_symbol	PRKAR2B	5577
Ptch	PTCH	hgnc_prev_symbol	PTCH1	5727
PKA	PKA	bioentities_symbol	PRKAR1A	5573
Sufu	SUFU	hgnc_symbol	SUFU	51684
PKA	PKA	bioentities_symbol	PRKACG	5568
Glis	GLI	hgnc_prev_symbol	GLI1	2735
