word	symbol	source	hgnc_symbol	entrez
TNFA	TNFA	hgnc_prev_symbol	TNF	7124
CD36	CD36	hgnc_symbol	CD36	948
АВСА1	ABCA1	hgnc_symbol	ABCA1	19
ABCA1	ABCA1	hgnc_symbol	ABCA1	19
SMPDL3b	SMPDL3B	hgnc_symbol	SMPDL3B	27293
Cav1	CAV1	hgnc_symbol	CAV1	857
CIP	CIP	hgnc_alias_symbol	MLIP	90523
SOAT1	SOAT1	hgnc_symbol	SOAT1	6646
NLRP3	NLRP3	hgnc_symbol	NLRP3	114548
АКТ	AKT	bioentities_symbol	AKT2	208
АКТ	AKT	bioentities_symbol	AKT3	10000
АКТ	AKT	bioentities_symbol	AKT1	207
AKT	AKT	bioentities_symbol	AKT2	208
AKT	AKT	bioentities_symbol	AKT3	10000
AKT	AKT	bioentities_symbol	AKT1	207
TG	TG	hgnc_symbol	TG	7038
TG	TG	hgnc_symbol	TG	7038
IL-18	IL-18	hgnc_alias_symbol	IL18	3606
NFAT	NFAT	bioentities_symbol	NFATC1	4772
NFAT	NFAT	bioentities_symbol	NFATC2	4773
NFAT	NFAT	bioentities_symbol	NFATC3	4775
NFAT	NFAT	bioentities_symbol	NFATC4	4776
NFAT	NFAT	bioentities_symbol	NFAT5	10725
NFAT	NFAT	bioentities_symbol	NFATC1	4772
NFAT	NFAT	bioentities_symbol	NFATC2	4773
NFAT	NFAT	bioentities_symbol	NFATC3	4775
NFAT	NFAT	bioentities_symbol	NFATC4	4776
NFAT	NFAT	bioentities_symbol	NFAT5	10725
NFAT	NFAT	bioentities_symbol	NFATC1	4772
NFAT	NFAT	bioentities_symbol	NFATC2	4773
NFAT	NFAT	bioentities_symbol	NFATC3	4775
NFAT	NFAT	bioentities_symbol	NFATC4	4776
NFAT	NFAT	bioentities_symbol	NFAT5	10725
