word	symbol	source	hgnc_symbol	entrez
(CSPG)	CSP-gamma	hgnc_alias_symbol	DNAJC5G	285126
IGFBP-2	IGFBP2	hgnc_symbol	IGFBP2	3485
IGF-IR	IGFIR	hgnc_alias_symbol	IGF1R	3480
MEK1/2	MEK1	hgnc_alias_symbol	MAP2K1	5604
MEK1/2	MEK2	hgnc_alias_symbol	MAP2K2	5605
NMDAR	NMDAR	bioentities_symbol	GRIN3A	116443
NMDAR	NMDAR	bioentities_symbol	GRIN3B	116444
NMDAR	NMDAR	bioentities_symbol	GRIN1	2902
NMDAR	NMDAR	bioentities_symbol	GRIN2A	2903
NMDAR	NMDAR	bioentities_symbol	GRIN2B	2904
NMDAR	NMDAR	bioentities_symbol	GRIN2C	2905
NMDAR	NMDAR	bioentities_symbol	GRIN2D	2906
PSD-95	PSD-95	hgnc_alias_symbol	DLG4	1742
SPAR	SPAR	hgnc_alias_symbol	SPAAR	158376
(VEGF)	VEGF	bioentities_symbol	VEGFD	2277
(VEGF)	VEGF	bioentities_symbol	PGF	5228
(VEGF)	VEGF	bioentities_symbol	VEGFA	7422
(VEGF)	VEGF	bioentities_symbol	VEGFB	7423
(VEGF)	VEGF	bioentities_symbol	VEGFC	7424
