word	symbol	source	hgnc_symbol	entrez
TSP1	TSP1	hgnc_alias_symbol	THBS1	7057
VEGF	VEGF	bioentities_symbol	VEGFD	2277
VEGF	VEGF	bioentities_symbol	VEGFB	7423
VEGF	VEGF	bioentities_symbol	PGF	5228
VEGF	VEGF	bioentities_symbol	VEGFA	7422
VEGF	VEGF	bioentities_symbol	VEGFC	7424
VEGFR2	VEGFR2	hgnc_alias_symbol	KDR	3791
CD36	CD36	hgnc_symbol	CD36	948
SHP1?	SHP1	hgnc_alias_symbol	PTPN6	5777
SHP1?	SHP1	hgnc_alias_symbol	PTPN6	5777
pRap	PRAP	hgnc_alias_symbol	HSD17B7	51478
TSP1	TSP1	hgnc_alias_symbol	THBS1	7057
AMPK?	AMPK	bioentities_symbol	PRKAG2	51422
AMPK?	AMPK	bioentities_symbol	PRKAA1	5562
AMPK?	AMPK	bioentities_symbol	PRKAA2	5563
AMPK?	AMPK	bioentities_symbol	PRKAB1	5564
AMPK?	AMPK	bioentities_symbol	PRKAB2	5565
AMPK?	AMPK	bioentities_symbol	PRKAG1	5571
AMPK?	AMPK	bioentities_symbol	PRKAG3	53632
