word	symbol	source	hgnc_symbol	entrez
B2m	B2M	hgnc_symbol	B2M	567
CD47	CD47	hgnc_symbol	CD47	961
SIRPA	SIRPA	hgnc_symbol	SIRPA	140885
LRP1	LRP1	hgnc_symbol	LRP1	4035
LILRB1	LILRB1	hgnc_symbol	LILRB1	10859
TLR7/8	TLR8	hgnc_symbol	TLR8	51311
TLR7/8	TLR7	hgnc_symbol	TLR7	51284
CGAS	CGAS	hgnc_symbol	CGAS	115004
TLR9	TLR9	hgnc_symbol	TLR9	54106
STING	STING	hgnc_alias_symbol	TMEM173	340061
(NFKB	NFKB	bioentities_symbol	NFKB1	4790
(NFKB	NFKB	bioentities_symbol	NFKB2	4791
(NFKB	NFKB	bioentities_symbol	REL	5966
(NFKB	NFKB	bioentities_symbol	RELA	5970
(NFKB	NFKB	bioentities_symbol	RELB	5971
IRF3	IRF3	hgnc_symbol	IRF3	3661
IRF3	IRF3	hgnc_symbol	IRF3	3661
NFKB	NFKB	bioentities_symbol	NFKB1	4790
NFKB	NFKB	bioentities_symbol	NFKB2	4791
NFKB	NFKB	bioentities_symbol	REL	5966
NFKB	NFKB	bioentities_symbol	RELA	5970
NFKB	NFKB	bioentities_symbol	RELB	5971
TypeIIFNS,TNFa	TNFA	hgnc_prev_symbol	TNF	7124
TNFa	TNFA	hgnc_prev_symbol	TNF	7124
