word	symbol	source	hgnc_symbol	entrez
AES	AES	hgnc_symbol	AES	166
p53	p53	hgnc_alias_symbol	TP53	7157
GADD45	GADD45	hgnc_alias_symbol	GADD45A	1647
MDM2	MDM2	hgnc_symbol	MDM2	4193
Bax	BAX	hgnc_symbol	BAX	581
Bak	BAK	hgnc_alias_symbol	BAK1	578
p43	p43	hgnc_alias_symbol	AIMP1	9255
POLK	POLK	hgnc_symbol	POLK	51426
CDK4/6	CDK4	hgnc_symbol	CDK4	1019
CDK4/6	CDK6	hgnc_symbol	CDK6	1021
E2F	E2F	bioentities_symbol	E2F3	1871
E2F	E2F	bioentities_symbol	E2F8	79733
E2F	E2F	bioentities_symbol	E2F1	1869
E2F	E2F	bioentities_symbol	E2F2	1870
E2F	E2F	bioentities_symbol	E2F4	1874
E2F	E2F	bioentities_symbol	E2F5	1875
E2F	E2F	bioentities_symbol	E2F6	1876
E2F	E2F	bioentities_symbol	E2F7	144455
CDK2	CDK2	hgnc_symbol	CDK2	1017
