word	symbol	source	hgnc_symbol	entrez
KLK2	KLK2	hgnc_symbol	KLK2	3817
COL2A1	COL2A1	hgnc_symbol	COL2A1	1280
KLK3	KLK3	hgnc_symbol	KLK3	354
KLK3	KLK3	hgnc_symbol	KLK3	354
GJB1	GJB1	hgnc_symbol	GJB1	2705
TRIM31	TRIM31	hgnc_symbol	TRIM31	11074
RNF39	RNF39	hgnc_symbol	RNF39	80352
CTSK	CTSK	hgnc_symbol	CTSK	1513
GCHFR	GCHFR	hgnc_symbol	GCHFR	2644
HDAC1	HDAC1	hgnc_symbol	HDAC1	3065
ASCL2	ASCL2	hgnc_symbol	ASCL2	430
TBX1	TBX1	hgnc_symbol	TBX1	6899
MYC	MYC	hgnc_symbol	MYC	4609
TBX5	TBX5	hgnc_symbol	TBX5	6910
TERT	TERT	hgnc_symbol	TERT	7015
ARNT	ARNT	hgnc_symbol	ARNT	405
ASCL2	ASCL2	hgnc_symbol	ASCL2	430
MYC	MYC	hgnc_symbol	MYC	4609
SOX9	SOX9	hgnc_symbol	SOX9	6662
TLE4	TLE4	hgnc_symbol	TLE4	7091
MCM3	MCM3	hgnc_symbol	MCM3	4172
NKX3-1	NKX3-1	hgnc_symbol	NKX3-1	4824
TEX1	TEX1	hgnc_alias_symbol	THOC3	84321
