word	symbol	source	hgnc_symbol	entrez
TG	TG	hgnc_symbol	TG	7038
TG	TG	hgnc_symbol	TG	7038
TG	TG	hgnc_symbol	TG	7038
TG	TG	hgnc_symbol	TG	7038
ILPL	LLPL	hgnc_alias_symbol	PLA2G15	23659
СЕТР	CETP	hgnc_symbol	CETP	1071
TG	TG	hgnc_symbol	TG	7038
TG	TG	hgnc_symbol	TG	7038
LPL	LPL	hgnc_symbol	LPL	4023
-HDL-	HDL	bioentities_symbol	ALB	213
-HDL-	HDL	bioentities_symbol	APOA2	336
-HDL-	HDL	bioentities_symbol	APOA1	335
-HDL-	HDL	bioentities_symbol	APOE	348
-HDL-	HDL	bioentities_symbol	CLU	1191
СЕТР	CETP	hgnc_symbol	CETP	1071
CETP	CETP	hgnc_symbol	CETP	1071
|LPL	LLPL	hgnc_alias_symbol	PLA2G15	23659
|LPL	LPL	hgnc_symbol	LPL	4023
CETP	CETP	hgnc_symbol	CETP	1071
HDL	HDL	bioentities_symbol	ALB	213
HDL	HDL	bioentities_symbol	APOA2	336
HDL	HDL	bioentities_symbol	APOA1	335
HDL	HDL	bioentities_symbol	APOE	348
HDL	HDL	bioentities_symbol	CLU	1191
TG	TG	hgnc_symbol	TG	7038
HDL	HDL	bioentities_symbol	ALB	213
HDL	HDL	bioentities_symbol	APOA2	336
HDL	HDL	bioentities_symbol	APOA1	335
HDL	HDL	bioentities_symbol	APOE	348
HDL	HDL	bioentities_symbol	CLU	1191
TG	TG	hgnc_symbol	TG	7038
LDL-C	LDLC	hgnc_prev_symbol	COG2	22796
Аров	APO	hgnc_alias_symbol	C9orf3	84909
СЕТР	CETP	hgnc_symbol	CETP	1071
Small	SMA2	hgnc_alias_symbol	SMN1	6606
HDL	HDL	bioentities_symbol	ALB	213
HDL	HDL	bioentities_symbol	APOA2	336
HDL	HDL	bioentities_symbol	APOA1	335
HDL	HDL	bioentities_symbol	APOE	348
HDL	HDL	bioentities_symbol	CLU	1191
TG	TG	hgnc_symbol	TG	7038
LDL-C	LDLC	hgnc_prev_symbol	COG2	22796
ApoB	APOB	hgnc_symbol	APOB	338
TG	TG	hgnc_symbol	TG	7038
LDL-C	LDLC	hgnc_prev_symbol	COG2	22796
АроВ	APOB	hgnc_symbol	APOB	338
АроВ	APO	hgnc_alias_symbol	C9orf3	84909
