word	symbol	source	hgnc_symbol	entrez
GLUT	GLUT	hgnc_prev_symbol	SLC2A1	6513
GLUT	GLUT	hgnc_prev_symbol	SLC2A1	6513
GFAT	GFAT	hgnc_alias_symbol	GFPT1	2673
GFAT	GFAT	hgnc_alias_symbol	GFPT1	2673
0-GICNAC	O-GLCNAC	hgnc_alias_symbol	OGT	8473
O-GICNAC	O-GLCNAC	hgnc_alias_symbol	OGT	8473
OGT	OGT	hgnc_symbol	OGT	8473
OGT	OGT	hgnc_symbol	OGT	8473
OGA	OGA	hgnc_alias_symbol	MGEA5	10724
OGA	OGA	hgnc_alias_symbol	MGEA5	10724
0-GlCNAC	O-GLCNAC	hgnc_alias_symbol	OGT	8473
NFKB	NFKB	bioentities_symbol	NFKB1	4790
NFKB	NFKB	bioentities_symbol	NFKB2	4791
NFKB	NFKB	bioentities_symbol	REL	5966
NFKB	NFKB	bioentities_symbol	RELA	5970
NFKB	NFKB	bioentities_symbol	RELB	5971
O-GlcNAC	O-GLCNAC	hgnc_alias_symbol	OGT	8473
Runx2	RUNX2	hgnc_symbol	RUNX2	860
