word	symbol	source	hgnc_symbol	entrez
CFTR	CFTR	hgnc_symbol	CFTR	1080
NF-KB?	NFKB	bioentities_symbol	NFKB1	4790
NF-KB?	NFKB	bioentities_symbol	NFKB2	4791
NF-KB?	NFKB	bioentities_symbol	REL	5966
NF-KB?	NFKB	bioentities_symbol	RELA	5970
NF-KB?	NFKB	bioentities_symbol	RELB	5971
GSK3B	GSK3B	hgnc_symbol	GSK3B	2932
Hsp90?	HSP90	bioentities_symbol	HSP90B1	7184
Hsp90?	HSP90	bioentities_symbol	TRAP1	10131
Hsp90?	HSP90	bioentities_symbol	HSP90AB1	3326
BAG3?	BAG3	hgnc_symbol	BAG3	9531
AKT	AKT	bioentities_symbol	AKT2	208
AKT	AKT	bioentities_symbol	AKT3	10000
AKT	AKT	bioentities_symbol	AKT1	207
Hsp90?	HSP90	bioentities_symbol	HSP90B1	7184
Hsp90?	HSP90	bioentities_symbol	TRAP1	10131
Hsp90?	HSP90	bioentities_symbol	HSP90AB1	3326
BAG3?	BAG3	hgnc_symbol	BAG3	9531
GSK3B	GSK3B	hgnc_symbol	GSK3B	2932
AKT	AKT	bioentities_symbol	AKT2	208
AKT	AKT	bioentities_symbol	AKT3	10000
AKT	AKT	bioentities_symbol	AKT1	207
NF-KB?	NFKB	bioentities_symbol	NFKB1	4790
NF-KB?	NFKB	bioentities_symbol	NFKB2	4791
NF-KB?	NFKB	bioentities_symbol	REL	5966
NF-KB?	NFKB	bioentities_symbol	RELA	5970
NF-KB?	NFKB	bioentities_symbol	RELB	5971
KLF4	KLF4	hgnc_symbol	KLF4	9314
KLF4	KLF4	hgnc_symbol	KLF4	9314
CFTR	CFTR	hgnc_symbol	CFTR	1080
