word	symbol	source	hgnc_symbol	entrez
CACNB4	CACNB4	hgnc_symbol	CACNB4	785
MEF2C	MEF2C	hgnc_symbol	MEF2C	4208
ATF2	ATF2	hgnc_symbol	ATF2	1386
TAOK1	TAOK1	hgnc_symbol	TAOK1	57551
ELK4	ELK4	hgnc_symbol	ELK4	2005
FGF13	FGF13	hgnc_symbol	FGF13	2258
TAB2	TAB2	hgnc_symbol	TAB2	23118
MAPK	MAPK	bioentities_symbol	MAPK14	1432
MAPK	MAPK	bioentities_symbol	MAPK3	5595
MAPK	MAPK	bioentities_symbol	MAPK8	5599
MAPK	MAPK	bioentities_symbol	MAPK11	5600
MAPK	MAPK	bioentities_symbol	MAPK13	5603
MAPK	MAPK	bioentities_symbol	MAPK12	6300
MAPK	MAPK	bioentities_symbol	MAPK1	5594
MAPK	MAPK	bioentities_symbol	MAPK9	5601
MAPK	MAPK	bioentities_symbol	MAPK10	5602
KRAS	KRAS	hgnc_symbol	KRAS	3845
PPP5C	PPP5C	hgnc_symbol	PPP5C	5536
PAK2	PAK2	hgnc_symbol	PAK2	5062
TGFBR1	TGFBR1	hgnc_symbol	TGFBR1	7046
FAS	FAS	hgnc_symbol	FAS	355
BRAF	BRAF	hgnc_symbol	BRAF	673
FGF14	FGF14	hgnc_symbol	FGF14	2259
RRAS	RRAS	hgnc_symbol	RRAS	6237
