word	symbol	source	hgnc_symbol	entrez
IPP	IPP	hgnc_symbol	IPP	3652
|sas	SAS	hgnc_alias_symbol	NANS	54187
sas	SAS	hgnc_alias_symbol	NANS	54187
НMGR	MGR	hgnc_alias_symbol	GRHL1	29841
CYP51:	CYP51	hgnc_prev_symbol	CYP51A1	1595
EBP,	EBP	hgnc_symbol	EBP	10682
HYD1,	HYD1	hgnc_alias_symbol	MSX1	4487
HYD1,EBP,ERG2:SterolC-8Isomerase	EBP	hgnc_symbol	EBP	10682
HYD1,EBP,ERG2:SterolC-8Isomerase	HYD1	hgnc_alias_symbol	MSX1	4487
DHCR7:	DHCR7	hgnc_symbol	DHCR7	1717
C-7	C7	hgnc_symbol	C7	730
LAS	LAS	hgnc_alias_symbol	LIAS	11019
ITA	LTA	hgnc_symbol	LTA	4049
CYP51	CYP51	hgnc_prev_symbol	CYP51A1	1595
ITA	LTA	hgnc_symbol	LTA	4049
CYP51	CYP51	hgnc_prev_symbol	CYP51A1	1595
ITA	LTA	hgnc_symbol	LTA	4049
CYP51-	CYP51	hgnc_prev_symbol	CYP51A1	1595
CPI	CPL	hgnc_alias_symbol	HEPH	9843
HYD1	HYD1	hgnc_alias_symbol	MSX1	4487
EBP	EBP	hgnc_symbol	EBP	10682
DHCR7	DHCR7	hgnc_symbol	DHCR7	1717
