word	symbol	source	hgnc_symbol	entrez
TNF-a	TNFA	hgnc_prev_symbol	TNF	7124
BMF	BMF	hgnc_symbol	BMF	90427
BAD	BAD	hgnc_symbol	BAD	572
BIK	BIK	hgnc_symbol	BIK	638
HRK	HRK	hgnc_symbol	HRK	8739
BID	BID	hgnc_symbol	BID	637
BIM	BIM	hgnc_alias_symbol	BCL2L11	10018
PUMA	PUMA	hgnc_alias_symbol	BBC3	27113
NOXA	NOXA	hgnc_alias_symbol	PMAIP1	5366
PUMA	PUMA	hgnc_alias_symbol	BBC3	27113
NOXA	NOXA	hgnc_alias_symbol	PMAIP1	5366
BAK	BAK	hgnc_alias_symbol	BAK1	578
BAX	BAX	hgnc_symbol	BAX	581
BOK	BOK	hgnc_symbol	BOK	666
MCL-1	MCL1	hgnc_symbol	MCL1	4170
BCL-2	BCL2	hgnc_symbol	BCL2	596
BCL-W	BCL-W	hgnc_alias_symbol	BCL2L2	599
APAF1	APAF1	hgnc_symbol	APAF1	317
