word	source	identifier
DMAPP	MESH	C043060
BaNCEDS	MESH	D001464
BaPS	MESH	D001464
BaPSYS	MESH	D001464
15-cis-Phytoene	MESH	C100185
Neoxanthin	MESH	C011947
Lutein	MESH	D014975
BaPDSte	MESH	D001464
Violaxanthin	MESH	C005613
Antheraxanthin	MESH	C031140
Zeinoxanthin	MESH	C503770
CHY-B BeCHYBA	MESH	D001895
9'-tri-cis-C-Carotene	MESH	D002338
Carotene	MESH	D002338
Z-ISO	MESH	D007545
BaZEPa	MESH	D001464
ISO	MESH	D007545
LCY-B BaLYCBa	MESH	C499102
8-Carotene	MESH	D002338
9'-di-cis-C-Carotene	MESH	D002338
Zeaxanthin	MESH	D065146
cis-Lycopene	MESH	C015329
CrtISO	MESH	D007545
BaBCH2	MESH	D001464
B-Cryptoxanthin	MESH	D065366
B-Carotene	MESH	D002338
Phytofluene	MESH	C003140
BnLYCB	MESH	C479860
