word	symbol	source	hgnc_symbol	entrez
CCL23	CCL23	hgnc_symbol	CCL23	6368
RXFP2	RXFP2	hgnc_symbol	RXFP2	122042
RNASE2	RNASE2	hgnc_symbol	RNASE2	6036
CCL8	CCL8	hgnc_symbol	CCL8	6355
INSL3	INSL3	hgnc_symbol	INSL3	3640
GSDMC	GSDMC	hgnc_symbol	GSDMC	56169
CCL1	CCL1	hgnc_symbol	CCL1	6346
CXCL5	CXCL5	hgnc_symbol	CXCL5	6374
IL1ORA	IL10RA	hgnc_symbol	IL10RA	3587
ERK	ERK	bioentities_symbol	MAPK3	5595
ERK	ERK	bioentities_symbol	MAPK1	5594
HRAS	HRAS	hgnc_symbol	HRAS	3265
NFKB	NFKB	bioentities_symbol	NFKB1	4790
NFKB	NFKB	bioentities_symbol	NFKB2	4791
NFKB	NFKB	bioentities_symbol	REL	5966
NFKB	NFKB	bioentities_symbol	RELA	5970
NFKB	NFKB	bioentities_symbol	RELB	5971
BATF2	BATF2	hgnc_symbol	BATF2	116071
TNFSF15	TNFSF15	hgnc_symbol	TNFSF15	9966
CD3	CD3	bioentities_symbol	CD3E	916
CD3	CD3	bioentities_symbol	CD3D	915
CD3	CD3	bioentities_symbol	CD3G	917
CD3	CD3	bioentities_symbol	CD247	919
TAC4	TAC4	hgnc_symbol	TAC4	255061
DBP	DBP	hgnc_symbol	DBP	1628
SHARPIN	SHARPIN	hgnc_symbol	SHARPIN	81858
C3AR1	C3AR1	hgnc_symbol	C3AR1	719
PER3	PER3	hgnc_symbol	PER3	8863
CAPN13	CAPN13	hgnc_symbol	CAPN13	92291
TMPPE	TMPPE	hgnc_symbol	TMPPE	643853
P2RY4	P2RY4	hgnc_symbol	P2RY4	5030
LETM1	LETM1	hgnc_symbol	LETM1	3954
DUOX2	DUOX2	hgnc_symbol	DUOX2	50506
DUOXA2	DUOXA2	hgnc_symbol	DUOXA2	405753
PTGES2	PTGES2	hgnc_symbol	PTGES2	80142
TAC4	TAC4	hgnc_symbol	TAC4	255061
TPO	TPO	hgnc_symbol	TPO	7173
CYB5B	CYB5B	hgnc_symbol	CYB5B	80777
MYC	MYC	hgnc_symbol	MYC	4609
SPRR1	SPRR1	hgnc_prev_symbol	SPRR1B	6699
BTN2A2	BTN2A2	hgnc_symbol	BTN2A2	10385
TAMM41	TAMM41	hgnc_symbol	TAMM41	132001
TNF	TNF	hgnc_symbol	TNF	7124
IFNG	IFNG	hgnc_symbol	IFNG	3458
PLA2G4A	PLA2G4A	hgnc_symbol	PLA2G4A	5321
pla	PIA	hgnc_alias_symbol	RICTOR	253260
ROMO1	ROMO1	hgnc_symbol	ROMO1	140823
CCL23	CCL23	hgnc_symbol	CCL23	6368
CD3	CD3	bioentities_symbol	CD3E	916
CD3	CD3	bioentities_symbol	CD3D	915
CD3	CD3	bioentities_symbol	CD3G	917
CD3	CD3	bioentities_symbol	CD247	919
