word	symbol	source	hgnc_symbol	entrez
VEGF	VEGF	bioentities_symbol	VEGFD	2277
VEGF	VEGF	bioentities_symbol	VEGFB	7423
VEGF	VEGF	bioentities_symbol	PGF	5228
VEGF	VEGF	bioentities_symbol	VEGFA	7422
VEGF	VEGF	bioentities_symbol	VEGFC	7424
SCF	SCF	hgnc_alias_symbol	KITLG	4254
EGF	EGF	hgnc_symbol	EGF	1950
FGF	FGF	bioentities_symbol	FGF1	2246
FGF	FGF	bioentities_symbol	FGF7	2252
FGF	FGF	bioentities_symbol	FGF8	2253
FGF	FGF	bioentities_symbol	FGF10	2255
FGF	FGF	bioentities_symbol	FGF11	2256
FGF	FGF	bioentities_symbol	FGF12	2257
FGF	FGF	bioentities_symbol	FGF13	2258
FGF	FGF	bioentities_symbol	FGF14	2259
FGF	FGF	bioentities_symbol	FGF23	8074
FGF	FGF	bioentities_symbol	FGF18	8817
FGF	FGF	bioentities_symbol	FGF20	26281
FGF	FGF	bioentities_symbol	FGF22	27006
FGF	FGF	bioentities_symbol	FGF2	2247
FGF	FGF	bioentities_symbol	FGF3	2248
FGF	FGF	bioentities_symbol	FGF4	2249
FGF	FGF	bioentities_symbol	FGF5	2250
FGF	FGF	bioentities_symbol	FGF6	2251
FGF	FGF	bioentities_symbol	FGF9	2254
FGF	FGF	bioentities_symbol	FGF17	8822
FGF	FGF	bioentities_symbol	FGF16	8823
FGF	FGF	bioentities_symbol	FGF19	9965
FGF	FGF	bioentities_symbol	FGF21	26291
PDGFB	PDGFB	hgnc_symbol	PDGFB	5155
c-kit	KIT	hgnc_symbol	KIT	3815
EGFR	EGFR	hgnc_symbol	EGFR	1956
FGFR	FGFR	bioentities_symbol	FGFR4	2264
FGFR	FGFR	bioentities_symbol	FGFRL1	53834
FGFR	FGFR	bioentities_symbol	FGFR1	2260
FGFR	FGFR	bioentities_symbol	FGFR3	2261
FGFR	FGFR	bioentities_symbol	FGFR2	2263
PDGFR	PDGFR	bioentities_symbol	PDGFRB	5159
PDGFR	PDGFR	bioentities_symbol	PDGFRA	5156
P13K/AKT/MTOR	AKT	bioentities_symbol	AKT2	208
P13K/AKT/MTOR	AKT	bioentities_symbol	AKT3	10000
P13K/AKT/MTOR	AKT	bioentities_symbol	AKT1	207
P13K/AKT/MTOR	PI3K	bioentities_symbol	PIK3CA	5290
P13K/AKT/MTOR	PI3K	bioentities_symbol	PIK3CG	5294
P13K/AKT/MTOR	PI3K	bioentities_symbol	PIK3R3	8503
P13K/AKT/MTOR	PI3K	bioentities_symbol	PIK3R4	30849
P13K/AKT/MTOR	PI3K	bioentities_symbol	PIK3CB	5291
P13K/AKT/MTOR	PI3K	bioentities_symbol	PIK3CD	5293
P13K/AKT/MTOR	PI3K	bioentities_symbol	PIK3R5	23533
P13K/AKT/MTOR	PI3K	bioentities_symbol	PIK3R6	146850
