word	symbol	source	hgnc_symbol	entrez
CD86	CD86	hgnc_symbol	CD86	942
Мас	MAC	bioentities_symbol	C5	727
Мас	MAC	bioentities_symbol	C7	730
Мас	MAC	bioentities_symbol	C8B	732
Мас	MAC	bioentities_symbol	C8G	733
Мас	MAC	bioentities_symbol	C9	735
Мас	MAC	bioentities_symbol	C6	729
Мас	MAC	bioentities_symbol	C8A	731
PD-L1	PD-L1	hgnc_alias_symbol	CD274	29126
IL-21	IL21	hgnc_symbol	IL21	59067
PD-1	PD-1	hgnc_alias_symbol	PDCD1	5133
CD28	CD28	hgnc_symbol	CD28	940
PD-1	PD-1	hgnc_alias_symbol	PDCD1	5133
GCA	GCA	hgnc_symbol	GCA	25801
GCA	GCA	hgnc_symbol	GCA	25801
CD86	CD86	hgnc_symbol	CD86	942
Mac	MAC	bioentities_symbol	C5	727
Mac	MAC	bioentities_symbol	C7	730
Mac	MAC	bioentities_symbol	C8B	732
Mac	MAC	bioentities_symbol	C8G	733
Mac	MAC	bioentities_symbol	C9	735
Mac	MAC	bioentities_symbol	C6	729
Mac	MAC	bioentities_symbol	C8A	731
IL-21	IL21	hgnc_symbol	IL21	59067
IL-21	IL21	hgnc_symbol	IL21	59067
