word	symbol	source	hgnc_symbol	entrez
PTEN	PTEN	hgnc_symbol	PTEN	5728
AKT	AKT	bioentities_symbol	AKT2	208
AKT	AKT	bioentities_symbol	AKT3	10000
AKT	AKT	bioentities_symbol	AKT1	207
FIH-1	FIH1	hgnc_alias_symbol	HIF1AN	55662
Notch	Notch	bioentities_symbol	NOTCH2	4853
Notch	Notch	bioentities_symbol	NOTCH4	4855
Notch	Notch	bioentities_symbol	NOTCH1	4851
Notch	Notch	bioentities_symbol	NOTCH3	4854
PGFR2BRD4/AKT3	AKT3	hgnc_symbol	AKT3	10000
USP2	USP2	hgnc_symbol	USP2	9099
IGF-IR	IGFIR	hgnc_alias_symbol	IGF1R	3480
TOF	TOF	hgnc_alias_symbol	FEZF2	55079
IL-17A	IL-17A	hgnc_alias_symbol	IL17A	3605
TACE	TACE	hgnc_prev_symbol	ADAM17	6868
TAK	TAK	hgnc_alias_symbol	CDK9	1025
TNFa	TNFA	hgnc_prev_symbol	TNF	7124
AKT3	AKT3	hgnc_symbol	AKT3	10000
IKK	IKK	bioentities_symbol	CHUK	1147
IKK	IKK	bioentities_symbol	IKBKG	8517
IKK	IKK	bioentities_symbol	IKBKB	3551
TIMP3	TIMP3	hgnc_symbol	TIMP3	7078
SMAD	SMAD	bioentities_symbol	SMAD1	4086
SMAD	SMAD	bioentities_symbol	SMAD2	4087
SMAD	SMAD	bioentities_symbol	SMAD5	4090
SMAD	SMAD	bioentities_symbol	SMAD6	4091
SMAD	SMAD	bioentities_symbol	SMAD9	4093
SMAD	SMAD	bioentities_symbol	SMAD3	4088
SMAD	SMAD	bioentities_symbol	SMAD4	4089
SMAD	SMAD	bioentities_symbol	SMAD7	4092
(USP2	USP2	hgnc_symbol	USP2	9099
IKKa	IKKA	hgnc_alias_symbol	CHUK	1147
PEK)	PEK	hgnc_alias_symbol	EIF2AK3	9451
PIPI	PLPL	hgnc_alias_symbol	CCDC177	56936
STAT	STAT	bioentities_symbol	STAT1	6772
STAT	STAT	bioentities_symbol	STAT5A	6776
STAT	STAT	bioentities_symbol	STAT6	6778
STAT	STAT	bioentities_symbol	STAT2	6773
STAT	STAT	bioentities_symbol	STAT3	6774
STAT	STAT	bioentities_symbol	STAT4	6775
STAT	STAT	bioentities_symbol	STAT5B	6777
AP1	AP1	bioentities_symbol	FOS	2353
AP1	AP1	bioentities_symbol	FOSB	2354
AP1	AP1	bioentities_symbol	FOSL2	2355
AP1	AP1	bioentities_symbol	JUN	3725
AP1	AP1	bioentities_symbol	JUNB	3726
AP1	AP1	bioentities_symbol	FOSL1	8061
AP1	AP1	bioentities_symbol	JUND	3727
TNF-a,IL-1B,IL68,CXCLSB,VEGE,OCL201	IL-1B	hgnc_alias_symbol	IL1B	3553
TNF-a,	TNFA	hgnc_prev_symbol	TNF	7124
IL-1B,	IL-1B	hgnc_alias_symbol	IL1B	3553
VEGF	VEGF	bioentities_symbol	VEGFD	2277
VEGF	VEGF	bioentities_symbol	VEGFB	7423
VEGF	VEGF	bioentities_symbol	PGF	5228
VEGF	VEGF	bioentities_symbol	VEGFA	7422
VEGF	VEGF	bioentities_symbol	VEGFC	7424
TNF-a,	TNFA	hgnc_prev_symbol	TNF	7124
IL-6,	IL-6	hgnc_alias_symbol	IL6	3569
TNF-a,TGF-0,IL-6,VEGF	VEGF	bioentities_symbol	VEGFD	2277
TNF-a,TGF-0,IL-6,VEGF	VEGF	bioentities_symbol	VEGFB	7423
TNF-a,TGF-0,IL-6,VEGF	VEGF	bioentities_symbol	PGF	5228
TNF-a,TGF-0,IL-6,VEGF	VEGF	bioentities_symbol	VEGFA	7422
TNF-a,TGF-0,IL-6,VEGF	VEGF	bioentities_symbol	VEGFC	7424
TNF-a,TGF-0,IL-6,VEGF	IL-6	hgnc_alias_symbol	IL6	3569
TNF-a,TGF-0,IL-6,VEGF	TNFA	hgnc_prev_symbol	TNF	7124
