word	source	identifier
glucose	MESH	D005947
pyruvate	MESH	D011773
fatty acids	MESH	D005227
CoA	MESH	C065987
SO	MESH	C443440
CAMP	MESH	C106170
AMP	MESH	D000249
Ge	MESH	D005857
acetyl-CoA	MESH	D000105
acyl-CoA	MESH	D000214
FAD	MESH	D005182
oxaloacetate	MESH	D010071
citrate	MESH	C102006
enoyl	MESH	C530366
isocitrate	MESH	D007523
3-hydroxyacyl-COA	MESH	C479798
TSA	MESH	C070842
fumarate	MESH	D005650
ketoglutarate	MESH	C029743
ATP3	MESH	D000255
succinate	MESH	D013386
succinyl-CoA	MESH	C012046
polyhydroxyalkanoates	MESH	D054813
ATP2	MESH	D000255
PHA	MESH	C568742
