word	symbol	source	hgnc_symbol	entrez
CAH-1	CAH1	hgnc_alias_symbol	CYP21A2	1589
PALS	PALS	hgnc_prev_symbol	CTSC	1075
F2	F2	hgnc_symbol	F2	2147
F3	F3	hgnc_symbol	F3	2152
F2	F2	hgnc_symbol	F2	2147
CH-S	CHS	hgnc_alias_symbol	LYST	1130
CHS-1	CHS1	hgnc_prev_symbol	LYST	1130
F3	F3	hgnc_symbol	F3	2152
met	MET	hgnc_symbol	MET	4233
CHS	CHS	hgnc_alias_symbol	LYST	1130
CHI	CHL	hgnc_alias_symbol	CHRDL1	91851
Tric	TRIC	hgnc_alias_symbol	MARVELD2	153562
Api	API	hgnc_alias_symbol	SERPINF2	5345
Hes	HES	bioentities_symbol	HES1	3280
Hes	HES	bioentities_symbol	HES4	57801
Hes	HES	bioentities_symbol	HES2	54626
Hes	HES	bioentities_symbol	HES6	55502
Hes	HES	bioentities_symbol	HES7	84667
Hes	HES	bioentities_symbol	HES5	388585
Hes	HES	bioentities_symbol	HES3	390992
Hes	HES	bioentities_symbol	HES1	3280
Hes	HES	bioentities_symbol	HES4	57801
Hes	HES	bioentities_symbol	HES2	54626
Hes	HES	bioentities_symbol	HES6	55502
Hes	HES	bioentities_symbol	HES7	84667
Hes	HES	bioentities_symbol	HES5	388585
Hes	HES	bioentities_symbol	HES3	390992
ace	ACE	hgnc_symbol	ACE	1636
met	MET	hgnc_symbol	MET	4233
Nar	NAR	hgnc_alias_symbol	CPSF4	10898
Nar	NAR	hgnc_alias_symbol	CPSF4	10898
Nar	NAR	hgnc_alias_symbol	CPSF4	10898
LAR	LAR	hgnc_prev_symbol	PTPRF	5792
LAR	LAR	hgnc_prev_symbol	PTPRF	5792
LAR	LAR	hgnc_prev_symbol	PTPRF	5792
