organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	VEGF-dependent	VEGF	Pvf1	32876	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	VEGF-dependent	VEGF	Pvf2	33994	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	VEGF-dependent	VEGF	Pvf3	33995	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	VEGF-dependent	VEGF	Pvr	34127	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	FGF	FGF	bnl	42356	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	FGFR	FGFR	btl	39564	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	FGFR	FGFR	htl	42160	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	ERK/MAPK	MAPK	MKP-4	32963	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	ERK/MAPK	MAPK	p38b	34780	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	ERK/MAPK	MAPK	rl	3354888	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	ERK/MAPK	ERK	Erk7	31877	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	PLCY	PLCG	sl	32601	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	Rac1/Rho	RAC1	Rac1	38146	ncbigene_symbol	3	20	10
7227	Drosophila melanogaster	Invertebrates	Rac1/Rho	RAC1	Rac2	38831	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	Rac1/Rho	RHO	rho	38168	ncbigene_symbol	3	20	10
7227	Drosophila melanogaster	Invertebrates	Rac1/Rho	RHO	Bx	32846	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	Rac1/Rho	RHO	Rho1	36775	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	Rac1/Rho	RHO	Lcp65Ab1	48382	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	AKT	AKT	Akt	41957	ncbigene_symbol	3	20	10
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K21B	33203	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K59F	37733	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K68D	39329	ncbigene_synonym	3	20	10
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K92E	42446	ncbigene_synonym	3	20	10
9606	Homo sapiens	Primates	VEGF-dependent	VEGF	VEGFA	7422	ncbigene_synonym	3	18	16
9606	Homo sapiens	Primates	VEGF-dependent	VEGF	VEGFB	7423	famplex_relations	3	18	16
9606	Homo sapiens	Primates	VEGF-dependent	VEGF	VEGFC	7424	famplex_relations	3	18	16
9606	Homo sapiens	Primates	VEGF-dependent	VEGF	VEGFD	2277	famplex_relations	3	18	16
9606	Homo sapiens	Primates	VEGF-dependent	VEGF	PGF	5228	famplex_relations	3	18	16
9606	Homo sapiens	Primates	FGF	FGF	FGF1	2246	famplex_relations	3	18	16
9606	Homo sapiens	Primates	FGF	FGF	FGF2	2247	famplex_relations	3	18	16
9606	Homo sapiens	Primates	FGF	FGF	FGF3	2248	famplex_relations	3	18	16
9606	Homo sapiens	Primates	FGF	FGF	FGF4	2249	famplex_relations	3	18	16
9606	Homo sapiens	Primates	FGF	FGF	FGF5	2250	famplex_relations	3	18	16
9606	Homo sapiens	Primates	FGF	FGF	FGF6	2251	famplex_relations	3	18	16
9606	Homo sapiens	Primates	FGF	FGF	FGF7	2252	famplex_relations	3	18	16
9606	Homo sapiens	Primates	FGF	FGF	FGF8	2253	famplex_relations	3	18	16
9606	Homo sapiens	Primates	FGF	FGF	FGF9	2254	famplex_relations	3	18	16
9606	Homo sapiens	Primates	FGF	FGF	FGF10	2255	famplex_relations	3	18	16
