organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
10090	Mus musculus	Rodents	Fats	FATS	D7Ertd443e	71007	ncbigene_synonym	1	6	6
10090	Mus musculus	Rodents	ADP	ADP	Wdtc1	230796	ncbigene_synonym	1	6	6
10090	Mus musculus	Rodents	ADP	ADP	Mdga2	320772	ncbigene_synonym	1	6	6
10090	Mus musculus	Rodents	NAD(P)H	NADPH	Decr1	67460	ncbigene_synonym	1	6	6
10090	Mus musculus	Rodents	H2O	H20	H20	109807	ncbigene_symbol	1	6	6
10090	Mus musculus	Rodents	ATPase	ATPASE	Dnah8	13417	ncbigene_synonym	1	6	6
10090	Mus musculus	Rodents	Low	LOW	NA	20997	ncbigene_synonym	1	6	6
9606	Homo sapiens	Primates	Fats	FATS	C10orf90	118611	ncbigene_synonym	NA	6	6
9606	Homo sapiens	Primates	ADP	ADP	WDTC1	23038	ncbigene_synonym	NA	6	6
9606	Homo sapiens	Primates	ATP	ATP	ATP8A2	51761	ncbigene_synonym	NA	6	6
9606	Homo sapiens	Primates	NAD(P)H	NADPH	DECR1	1666	ncbigene_synonym	NA	6	6
9606	Homo sapiens	Primates	bases	BASE	BPIFA4P	317716	ncbigene_synonym	NA	6	6
9606	Homo sapiens	Primates	ATPase	ATPASE	DNAH8	1769	ncbigene_synonym	NA	6	6
7227	Drosophila melanogaster	Invertebrates	Fats	FAT	ft	33627	ncbigene_synonym	4	6	7
7227	Drosophila melanogaster	Invertebrates	Fats	FAT	kug	40191	ncbigene_synonym	4	6	7
7227	Drosophila melanogaster	Invertebrates	Fats	FAT	faf	43749	ncbigene_synonym	4	6	7
7227	Drosophila melanogaster	Invertebrates	ADP	ADP	adp	37073	ncbigene_symbol	4	6	7
7227	Drosophila melanogaster	Invertebrates	ATP	ATP	ATPsynbeta	43829	ncbigene_synonym	4	6	7
7227	Drosophila melanogaster	Invertebrates	ATP	ATP	Atpalpha	48971	ncbigene_synonym	4	6	7
7227	Drosophila melanogaster	Invertebrates	Pi	PI	pi	5656965	ncbigene_symbol	4	6	7
7227	Drosophila melanogaster	Invertebrates	ATPase	ATPASE	Vha14-1	36731	ncbigene_synonym	4	6	7
7227	Drosophila melanogaster	Invertebrates	Low	LOW	Low	44325	ncbigene_symbol	4	6	7
7227	Drosophila melanogaster	Invertebrates	SH	SH	Sh	32780	ncbigene_symbol	4	6	7
