organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	coli	COII	COX2	4513	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	coli	COII	MTCO2P12	107075310	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	TLR4	TLR4	TLR4	7099	ncbigene_symbol	5	19	13
9606	Homo sapiens	Primates	LPS	LPS	IRF6	3664	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	NF-KB	NF-KB	NFKB1	4790	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	NIK	NIK	MAP3K14	9020	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	NIK	NIK	MAP4K4	9448	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	CD14	CD14	CD14	929	ncbigene_symbol	5	19	13
9606	Homo sapiens	Primates	CD14	CD14	NDUFA2	4695	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	TRAF-6	TRAF6	TRAF6	7189	ncbigene_symbol	5	19	13
9606	Homo sapiens	Primates	p38s	P38	CRK	1398	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	p38s	P38	MAPK14	1432	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	p38s	P38	MAPK1	5594	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	p38s	P38	AIMP2	7965	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	p38s	P38	GRAP2	9402	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	p38s	P38	AHSA1	10598	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	p38s	P38	POLDIP2	26073	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	p38s	P38	MAPK11	5600	famplex_relations	5	19	13
9606	Homo sapiens	Primates	p38s	P38	MAPK12	6300	famplex_relations	5	19	13
9606	Homo sapiens	Primates	p38s	P38	MAPK13	5603	famplex_relations	5	19	13
9606	Homo sapiens	Primates	MyD88	MYD88	MYD88	4615	ncbigene_symbol	5	19	13
9606	Homo sapiens	Primates	(LBP)	LBP	LBP	3929	ncbigene_symbol	5	19	13
9606	Homo sapiens	Primates	(LBP)	LBP	EHHADH	1962	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	(LBP)	LBP	RPSA	3921	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	MD-2	MD-2	LY96	23643	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	IL-18,	IL-18	IL18	3606	ncbigene_synonym	5	19	13
9606	Homo sapiens	Primates	TNFA,	TNFA	TNF	7124	ncbigene_synonym	5	19	13
