word	mesh	match	name	chebi
Suberic acid	mesh:C005738	NA	NA	NA
Indole-3-carboxylic acid Nicotinic acid	mesh:C012382	indole-3-carboxylic acid	indole-3-carboxylic acid	chebi:24809
Xanthurenic acid	mesh:C028330	xanthurenic acid	xanthurenic acid	chebi:10072
Adipic acid	mesh:C029900	adipic acid	adipic acid	chebi:30832
Phenylpyruvate	mesh:C031606	keto-phenylpyruvic acid	phenylpyruvic acid	chebi:30851
Aconitic acid	mesh:D000156	Aconitic Acid	aconitic acid	chebi:22211
Adenosine	mesh:D000241	Adenosine	adenosine	chebi:16335
Allantoin	mesh:D000481	Allantoin	allantoin	chebi:15676
Creatinine	mesh:D003404	Creatinine	creatinine	chebi:16737
Cysteine	mesh:D003545	Cysteine	cysteine	chebi:15356
Fatty acid	mesh:D005227	Fatty Acids	fatty acid	chebi:35366
Fumarate	mesh:D005650	NA	NA	NA
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glycine	mesh:D005998	Glycine	glycine	chebi:15428
InosinePurine	mesh:D007288	Inosine	inosine	chebi:17596
Oleic acid	mesh:D009829	NA	NA	NA
Oxaloacetate	mesh:D010071	NA	NA	NA
Pentose phosphate	mesh:D010429	Pentoses	pentose	chebi:25901
Phenylalanine	mesh:D010649	Phenylalanine	phenylalanine	chebi:28044
Pyruvate	mesh:D011773	NA	NA	NA
Serine	mesh:D012694	Serine	L-serine	chebi:17115
serine	mesh:D012694	Serine	L-serine	chebi:17115
Succinate	mesh:D013386	Succinates	succinate	chebi:26806
Taurine	mesh:D013654	Taurine	taurine	chebi:15891
Triglycerides	mesh:D014280	Triglycerides	triglyceride	chebi:17855
Tryptophan	mesh:D014364	Tryptophan	L-tryptophan	chebi:16828
Uric acid Xanthine Hypoxanthine	mesh:D019820	NA	NA	NA
