organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	TP53	TP53	TP53	7157	ncbigene_symbol	4	22	13
9606	Homo sapiens	Primates	Hdm2	HDM2	MDM2	4193	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	ARF	ARF	CDKN2A	1029	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	P14	P14	S100A9	6280	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	P14	P14	CDK2AP2	10263	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	P14	P14	SUB1	10923	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	P14	P14	RPP14	11102	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	P14	P14	LAMTOR2	28956	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	P14	P14	SF3B6	51639	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	P14	P14	H3P8	115482693	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	CHK2	CHK2	CHEK2	11200	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	CHK1	CHK1	CHEK1	1111	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	(P19	P19	CDKN2D	1032	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	(P19	P19	F9	2158	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	(P19	P19	REG1A	5967	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	(P19	P19	IL23A	51561	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	(P19	P19	H3P13	115482685	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	ATR	ATR	ATR	545	ncbigene_symbol	4	22	13
9606	Homo sapiens	Primates	ATR	ATR	ANTXR1	84168	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	ATR	ATR	MMAB	326625	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	ATR	ATR	SERPINA2	390502	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	ATM	ATM	ATM	472	ncbigene_symbol	4	22	13
9606	Homo sapiens	Primates	Pirh2	PIRH2	RCHY1	25898	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	MdmX	MDMX	MDM4	4194	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	Cop-1	COP1	COP1	64326	ncbigene_symbol	4	22	13
9606	Homo sapiens	Primates	Cop-1	COP1	CARD16	114769	ncbigene_synonym	4	22	13
9606	Homo sapiens	Primates	Ac	ADCY	ADCY1	107	famplex_relations	4	22	13
9606	Homo sapiens	Primates	Ac	ADCY	ADCY2	108	famplex_relations	4	22	13
9606	Homo sapiens	Primates	Ac	ADCY	ADCY3	109	famplex_relations	4	22	13
9606	Homo sapiens	Primates	Ac	ADCY	ADCY4	196883	famplex_relations	4	22	13
9606	Homo sapiens	Primates	Ac	ADCY	ADCY5	111	famplex_relations	4	22	13
9606	Homo sapiens	Primates	Ac	ADCY	ADCY6	112	famplex_relations	4	22	13
9606	Homo sapiens	Primates	Ac	ADCY	ADCY7	113	famplex_relations	4	22	13
9606	Homo sapiens	Primates	Ac	ADCY	ADCY8	114	famplex_relations	4	22	13
9606	Homo sapiens	Primates	Ac	ADCY	ADCY9	115	famplex_relations	4	22	13
9606	Homo sapiens	Primates	Ac	ADCY	ADCY10	55811	famplex_relations	4	22	13
7955	Danio rerio	Vertebrates	TP53	TP53	tp53	30590	ncbigene_symbol	5	2	7
7955	Danio rerio	Vertebrates	(Mdm2)	MDM2	mdm2	30637	ncbigene_symbol	5	2	7
7955	Danio rerio	Vertebrates	Oncogene	ONCOGENE	rab1ab	368883	ncbigene_synonym	5	2	7
7955	Danio rerio	Vertebrates	(P19	P19	nsg2	324971	ncbigene_synonym	5	2	7
7955	Danio rerio	Vertebrates	ATR	ATR	atr	567770	ncbigene_symbol	5	2	7
7955	Danio rerio	Vertebrates	ATM	ATM	atm	403064	ncbigene_symbol	5	2	7
7955	Danio rerio	Vertebrates	Cop-1	COP1	cop1	100037391	ncbigene_symbol	5	2	7
