organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	ZNF558)	ZNF558	ZNF558	148156	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	IP6K1	IP6K1	IP6K1	9807	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	SKIV2L2	SKIV2L2	MTREX	23517	ncbigene_synonym	13	1	14
9606	Homo sapiens	Primates	DIS3	DIS3	DIS3	22894	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	EXOSC2	EXOSC2	EXOSC2	23404	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	EXOSC4	EXOSC4	EXOSC4	54512	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	EXOSC7	EXOSC7	EXOSC7	23016	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	EXOSC3	EXOSC3	EXOSC3	51010	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	NUP160	NUP160	NUP160	23279	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	EXOSC5	EXOSC5	EXOSC5	56915	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	EXOSC1	EXOSC1	EXOSC1	51013	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	EXOSC9	EXOSC9	EXOSC9	5393	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	LRRC8D	LRRC8D	LRRC8D	55144	ncbigene_symbol	13	1	14
9606	Homo sapiens	Primates	SMPD4	SMPD4	SMPD4	55627	ncbigene_symbol	13	1	14
7955	Danio rerio	Vertebrates	IP6K1	IP6K1	ip6k1	564478	ncbigene_symbol	11	2	13
7955	Danio rerio	Vertebrates	SKIV2L2	SKIV2L2	mtrex	406795	ncbigene_synonym	11	2	13
7955	Danio rerio	Vertebrates	DIS3	DIS3	dis3	100003553	ncbigene_symbol	11	2	13
7955	Danio rerio	Vertebrates	EXOSC2	EXOSC2	exosc2	550234	ncbigene_symbol	11	2	13
7955	Danio rerio	Vertebrates	EXOSC4	EXOSC4	exosc4	393712	ncbigene_symbol	11	2	13
7955	Danio rerio	Vertebrates	EXOSC7	EXOSC7	exosc7	550247	ncbigene_symbol	11	2	13
7955	Danio rerio	Vertebrates	EXOSC3	EXOSC3	exosc3	565000	ncbigene_symbol	11	2	13
7955	Danio rerio	Vertebrates	NUP160	NUP160	nup160	393635	ncbigene_symbol	11	2	13
7955	Danio rerio	Vertebrates	EXOSC5	EXOSC5	exosc5	751632	ncbigene_symbol	11	2	13
7955	Danio rerio	Vertebrates	EXOSC1	EXOSC1	exosc1	558857	ncbigene_symbol	11	2	13
7955	Danio rerio	Vertebrates	EXOSC9	EXOSC9	exosc9	450057	ncbigene_symbol	11	2	13
7955	Danio rerio	Vertebrates	LRRC8D	LRRC8D	lrrc8db	563923	ncbigene_synonym	11	2	13
7955	Danio rerio	Vertebrates	SMPD4	SMPD4	smpd4	793294	ncbigene_symbol	11	2	13
