organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB1	7040	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB2	7042	famplex_relations	5	13	16
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB3	7043	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	BMP1	649	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	BMP2	650	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	BMP3	651	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	BMP4	652	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	BMP5	653	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	BMP6	654	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	BMP7	655	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	BMP8A	353500	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	BMP8B	656	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	BMP10	27302	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	BMP15	9210	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	GDF1	2657	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	GDF2	2658	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	GDF3	9573	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	GDF5	8200	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	GDF6	392255	famplex_relations	5	13	16
9606	Homo sapiens	Primates	BMP	BMP	GDF7	151449	famplex_relations	5	13	16
9606	Homo sapiens	Primates	TBRI	TBRI	TGFBR1	7046	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	ALK1/2	ALK2	ACVR1	90	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	ALK1/2	ALK1	ACVRL1	94	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	ALK1/2	ALK1	ALK	238	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	ALK1/2	ALK1	SLPI	6590	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	ALK3	ALK3	BMPR1A	657	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	ALK3/6	ALK6	BMPR1B	658	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	TBRII	TBRII	TGFBR2	7048	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	BMPRII	BMPRII	BMPR2	659	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	ActRIIA/B	ACTRIIB	ACVR2B	93	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	Şmad2	SMAD2	SMAD2	4087	ncbigene_symbol	5	13	16
9606	Homo sapiens	Primates	Şmad2/3	SMAD3	SMAD3	4088	ncbigene_symbol	5	13	16
9606	Homo sapiens	Primates	Smad1/5	SMAD5	SMAD5	4090	ncbigene_symbol	5	13	16
9606	Homo sapiens	Primates	Smad1/5	SMAD1	SMAD1	4086	ncbigene_symbol	5	13	16
9606	Homo sapiens	Primates	Smad1/5	SMAD1	GARS1	2617	ncbigene_synonym	5	13	16
9606	Homo sapiens	Primates	Smad4	SMAD4	SMAD4	4089	ncbigene_symbol	5	13	16
9606	Homo sapiens	Primates	SnoN	SNON	SKIL	6498	ncbigene_synonym	5	13	16
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	ALK1/2	ALK2	ALK2	852274	ncbigene_symbol	5	NA	5
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	ALK1/2	ALK1	ALK1	852863	ncbigene_symbol	5	NA	5
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Şmad2	MAD2	MAD2	853422	ncbigene_symbol	5	NA	5
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Şmad2/3	MAD3	MAD3	853439	ncbigene_symbol	5	NA	5
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Şmad1/5	MAD1	MAD1	852794	ncbigene_symbol	5	NA	5
